From;To;ID 2851 - PM2.5
"01/01/2019";"02/01/2019";"21"
"02/01/2019";"03/01/2019";"8"
"03/01/2019";"04/01/2019";"7"
"04/01/2019";"05/01/2019";"30"
"05/01/2019";"06/01/2019";"15"
"06/01/2019";"07/01/2019";"73"
"07/01/2019";"08/01/2019";"104"
"08/01/2019";"09/01/2019";"52"
"09/01/2019";"10/01/2019";"57"
"10/01/2019";"11/01/2019";"51"
"11/01/2019";"12/01/2019";"48"
"12/01/2019";"13/01/2019";"31"
"13/01/2019";"14/01/2019";"27"
"14/01/2019";"15/01/2019";"14"
"15/01/2019";"16/01/2019";"19"
"16/01/2019";"17/01/2019";"26"
"17/01/2019";"18/01/2019";"31"
"18/01/2019";"19/01/2019";"22"
"19/01/2019";"20/01/2019";"43"
"20/01/2019";"21/01/2019";"97"
"21/01/2019";"22/01/2019";"50"
"22/01/2019";"23/01/2019";"74"
"23/01/2019";"24/01/2019";"52"
"24/01/2019";"25/01/2019";"33"
"25/01/2019";"26/01/2019";"37"
"26/01/2019";"27/01/2019";"74"
"27/01/2019";"28/01/2019";"80"
"28/01/2019";"29/01/2019";"62"
"29/01/2019";"30/01/2019";"49"
"30/01/2019";"31/01/2019";"62"
"31/01/2019";"01/02/2019";"59"
"01/02/2019";"02/02/2019";"52"
"02/02/2019";"03/02/2019";"30"
"03/02/2019";"04/02/2019";"49"
"04/02/2019";"05/02/2019";"28"
"05/02/2019";"06/02/2019";"37"
"06/02/2019";"07/02/2019";"50"
"07/02/2019";"08/02/2019";"42"
"08/02/2019";"09/02/2019";"44"
"09/02/2019";"10/02/2019";"44"
"10/02/2019";"11/02/2019";"31"
"11/02/2019";"12/02/2019";"27"
"12/02/2019";"13/02/2019";"17"
"13/02/2019";"14/02/2019";"30"
"14/02/2019";"15/02/2019";"34"
"15/02/2019";"16/02/2019";"44"
"16/02/2019";"17/02/2019";"39"
"17/02/2019";"18/02/2019";"46"
"18/02/2019";"19/02/2019";"50"
"19/02/2019";"20/02/2019";"58"
"20/02/2019";"21/02/2019";"19"
"21/02/2019";"22/02/2019";"34"
"22/02/2019";"23/02/2019";"12"
"23/02/2019";"24/02/2019";"30"
"24/02/2019";"25/02/2019";"43"
"25/02/2019";"26/02/2019";"48"
"26/02/2019";"27/02/2019";"22"
"27/02/2019";"28/02/2019";"27"
"28/02/2019";"01/03/2019";"36"
"01/03/2019";"02/03/2019";"26"
"02/03/2019";"03/03/2019";"34"
"03/03/2019";"04/03/2019";"44"
"04/03/2019";"05/03/2019";"14"
"05/03/2019";"06/03/2019";"11"
"06/03/2019";"07/03/2019";"27"
"07/03/2019";"08/03/2019";"28"
"08/03/2019";"09/03/2019";"11"
"09/03/2019";"10/03/2019";"18"
"10/03/2019";"11/03/2019";"12"
"11/03/2019";"12/03/2019";"18"
"12/03/2019";"13/03/2019";"25"
"13/03/2019";"14/03/2019";"31"
"14/03/2019";"15/03/2019";"25"
"15/03/2019";"16/03/2019";"20"
"16/03/2019";"17/03/2019";"12"
"17/03/2019";"18/03/2019";"22"
"18/03/2019";"19/03/2019";"12"
"19/03/2019";"20/03/2019";"25"
"20/03/2019";"21/03/2019";"27"
"21/03/2019";"22/03/2019";"23"
"22/03/2019";"23/03/2019";"39"
"23/03/2019";"24/03/2019";"53"
"24/03/2019";"25/03/2019";"43"
"25/03/2019";"26/03/2019";"38"
"26/03/2019";"27/03/2019";"22"
"27/03/2019";"28/03/2019";"17"
"28/03/2019";"29/03/2019";"31"
"29/03/2019";"30/03/2019";"31"
"30/03/2019";"31/03/2019";"45"
"31/03/2019";"01/04/2019";"47"
"01/04/2019";"02/04/2019";"28"
"02/04/2019";"03/04/2019";"19"
"03/04/2019";"04/04/2019";"22"
"04/04/2019";"05/04/2019";"30"
