From;To;ID 2851 - PM2.5
"03:30 01/04";"04:30 01/04";"40"
"04:30 01/04";"05:30 01/04";"39"
"05:30 01/04";"06:30 01/04";"31"
"06:30 01/04";"07:30 01/04";"13"
"07:30 01/04";"08:30 01/04";"23"
"08:30 01/04";"09:30 01/04";"25"
"09:30 01/04";"10:30 01/04";"36"
"10:30 01/04";"11:30 01/04";"24"
"11:30 01/04";"12:30 01/04";"9"
"12:30 01/04";"13:30 01/04";"5"
"13:30 01/04";"14:30 01/04";"3"
"14:30 01/04";"15:30 01/04";"2"
"15:30 01/04";"16:30 01/04";"2"
"16:30 01/04";"17:30 01/04";"1"
"17:30 01/04";"18:30 01/04";"2"
"18:30 01/04";"19:30 01/04";"1"
"19:30 01/04";"20:30 01/04";"2"
"20:30 01/04";"21:30 01/04";"3"
"21:30 01/04";"22:30 01/04";"6"
"22:30 01/04";"23:30 01/04";"25"
"23:30 01/04";"00:30 02/04";"67"
"00:30 02/04";"01:30 02/04";"106"
"01:30 02/04";"02:30 02/04";"104"
"02:30 02/04";"03:30 02/04";"97"
"03:30 02/04";"04:30 02/04";"70"
"04:30 02/04";"05:30 02/04";"46"
"05:30 02/04";"06:30 02/04";"42"
"06:30 02/04";"07:30 02/04";"38"
"07:30 02/04";"08:30 02/04";"34"
"08:30 02/04";"09:30 02/04";"29"
"09:30 02/04";"10:30 02/04";"21"
"10:30 02/04";"11:30 02/04";"16"
"11:30 02/04";"12:30 02/04";"13"
"12:30 02/04";"13:30 02/04";"6"
"13:30 02/04";"14:30 02/04";"4"
"14:30 02/04";"15:30 02/04";"4"
"15:30 02/04";"16:30 02/04";"4"
"16:30 02/04";"17:30 02/04";"4"
"17:30 02/04";"18:30 02/04";"5"
"18:30 02/04";"19:30 02/04";"5"
"19:30 02/04";"20:30 02/04";"5"
"20:30 02/04";"21:30 02/04";"5"
"21:30 02/04";"22:30 02/04";"6"
"22:30 02/04";"23:30 02/04";"12"
"23:30 02/04";"00:30 03/04";"18"
"00:30 03/04";"01:30 03/04";"20"
"01:30 03/04";"02:30 03/04";"20"
"02:30 03/04";"03:30 03/04";"23"
"03:30 03/04";"04:30 03/04";"22"
"04:30 03/04";"05:30 03/04";"20"
"05:30 03/04";"06:30 03/04";"19"
"06:30 03/04";"07:30 03/04";"21"
"07:30 03/04";"08:30 03/04";"27"
"08:30 03/04";"09:30 03/04";"23"
"09:30 03/04";"10:30 03/04";"23"
"10:30 03/04";"11:30 03/04";"23"
"11:30 03/04";"12:30 03/04";"23"
"12:30 03/04";"13:30 03/04";"25"
"13:30 03/04";"14:30 03/04";"23"
"14:30 03/04";"15:30 03/04";"20"
"15:30 03/04";"16:30 03/04";"18"
"16:30 03/04";"17:30 03/04";"17"
"17:30 03/04";"18:30 03/04";"18"
"18:30 03/04";"19:30 03/04";"16"
"19:30 03/04";"20:30 03/04";"17"
"20:30 03/04";"21:30 03/04";"17"
"21:30 03/04";"22:30 03/04";"20"
"22:30 03/04";"23:30 03/04";"24"
"23:30 03/04";"00:30 04/04";"24"
"00:30 04/04";"01:30 04/04";"27"
"01:30 04/04";"02:30 04/04";"28"
"02:30 04/04";"03:30 04/04";"28"
"03:30 04/04";"04:30 04/04";"29"
"04:30 04/04";"05:30 04/04";"30"
"05:30 04/04";"06:30 04/04";"30"
"06:30 04/04";"07:30 04/04";"30"
"07:30 04/04";"08:30 04/04";"31"
"08:30 04/04";"09:30 04/04";"31"
"09:30 04/04";"10:30 04/04";"32"
"10:30 04/04";"11:30 04/04";"32"
"11:30 04/04";"12:30 04/04";"31"
"12:30 04/04";"13:30 04/04";"30"
"13:30 04/04";"14:30 04/04";"30"
"14:30 04/04";"15:30 04/04";"30"
"15:30 04/04";"16:30 04/04";"28"
"16:30 04/04";"17:30 04/04";"29"
"17:30 04/04";"18:30 04/04";"29"
"18:30 04/04";"19:30 04/04";"28"
"19:30 04/04";"20:30 04/04";"28"
"20:30 04/04";"21:30 04/04";"28"
"21:30 04/04";"22:30 04/04";"29"
"22:30 04/04";"23:30 04/04";"30"
"23:30 04/04";"00:30 05/04";"33"
"00:30 05/04";"01:30 05/04";"31"
"01:30 05/04";"02:30 05/04";"30"
"02:30 05/04";"03:30 05/04";"30"
"03:30 05/04";"04:30 05/04";"30"
"04:30 05/04";"05:30 05/04";"29"
"05:30 05/04";"06:30 05/04";"29"
"06:30 05/04";"07:30 05/04";"30"
"07:30 05/04";"08:30 05/04";"33"
"08:30 05/04";"09:30 05/04";"33"
"09:30 05/04";"10:30 05/04";"35"
"10:30 05/04";"11:30 05/04";"35"
"11:30 05/04";"12:30 05/04";"31"
"12:30 05/04";"13:30 05/04";"30"
"13:30 05/04";"14:30 05/04";"30"
"14:30 05/04";"15:30 05/04";"29"
"15:30 05/04";"16:30 05/04";"29"
"16:30 05/04";"17:30 05/04";"28"
"17:30 05/04";"18:30 05/04";"27"
"18:30 05/04";"19:30 05/04";"25"
"19:30 05/04";"20:30 05/04";"24"
"20:30 05/04";"21:30 05/04";"26"
"21:30 05/04";"22:30 05/04";"27"
"22:30 05/04";"23:30 05/04";"30"
"23:30 05/04";"00:30 06/04";"34"
"00:30 06/04";"01:30 06/04";"35"
"01:30 06/04";"02:30 06/04";"33"
"02:30 06/04";"03:30 06/04";"32"
"03:30 06/04";"04:30 06/04";"31"
"04:30 06/04";"05:30 06/04";"30"
"05:30 06/04";"06:30 06/04";"32"
"06:30 06/04";"07:30 06/04";"33"
"07:30 06/04";"08:30 06/04";"35"
"08:30 06/04";"09:30 06/04";"35"
"09:30 06/04";"10:30 06/04";"35"
"10:30 06/04";"11:30 06/04";"37"
"11:30 06/04";"12:30 06/04";"36"
"12:30 06/04";"13:30 06/04";"33"
"13:30 06/04";"14:30 06/04";"27"
"14:30 06/04";"15:30 06/04";"22"
"15:30 06/04";"16:30 06/04";"20"
"16:30 06/04";"17:30 06/04";"20"
"17:30 06/04";"18:30 06/04";"20"
"18:30 06/04";"19:30 06/04";"20"
"19:30 06/04";"20:30 06/04";"18"
"20:30 06/04";"21:30 06/04";"20"
"21:30 06/04";"22:30 06/04";"23"
"22:30 06/04";"23:30 06/04";"28"
"23:30 06/04";"00:30 07/04";"40"
"00:30 07/04";"01:30 07/04";"68"
"01:30 07/04";"02:30 07/04";"58"
"02:30 07/04";"03:30 07/04";"55"
"03:30 07/04";"04:30 07/04";"47"
"04:30 07/04";"05:30 07/04";"42"
"05:30 07/04";"06:30 07/04";"42"
"06:30 07/04";"07:30 07/04";"41"
"07:30 07/04";"08:30 07/04";"41"
"08:30 07/04";"09:30 07/04";"42"
"09:30 07/04";"10:30 07/04";"47"
"10:30 07/04";"11:30 07/04";"41"
"11:30 07/04";"12:30 07/04";"42"
"12:30 07/04";"13:30 07/04";"38"
"13:30 07/04";"14:30 07/04";"30"
"14:30 07/04";"15:30 07/04";"26"
"15:30 07/04";"16:30 07/04";"21"
"16:30 07/04";"17:30 07/04";"24"
"17:30 07/04";"18:30 07/04";"25"
"18:30 07/04";"19:30 07/04";"24"
"19:30 07/04";"20:30 07/04";"24"
"20:30 07/04";"21:30 07/04";"24"
"21:30 07/04";"22:30 07/04";"26"
"22:30 07/04";"23:30 07/04";"32"
"23:30 07/04";"00:30 08/04";"42"
"00:30 08/04";"01:30 08/04";"95"
"01:30 08/04";"02:30 08/04";"169"
"02:30 08/04";"03:30 08/04";"199"
"03:30 08/04";"04:30 08/04";"205"
"04:30 08/04";"05:30 08/04";"192"
"05:30 08/04";"06:30 08/04";"130"
"06:30 08/04";"07:30 08/04";"133"
"07:30 08/04";"08:30 08/04";"126"
"08:30 08/04";"09:30 08/04";"127"
"09:30 08/04";"10:30 08/04";"121"
"10:30 08/04";"11:30 08/04";"126"
"11:30 08/04";"12:30 08/04";"96"
"12:30 08/04";"13:30 08/04";"62"
"13:30 08/04";"14:30 08/04";"34"
"14:30 08/04";"15:30 08/04";"27"
"15:30 08/04";"16:30 08/04";"27"
"16:30 08/04";"17:30 08/04";"28"
"17:30 08/04";"18:30 08/04";"29"
"18:30 08/04";"19:30 08/04";"28"
"19:30 08/04";"20:30 08/04";"27"
"20:30 08/04";"21:30 08/04";"28"
"21:30 08/04";"22:30 08/04";"31"
"22:30 08/04";"23:30 08/04";"40"
"23:30 08/04";"00:30 09/04";"46"
"00:30 09/04";"01:30 09/04";"34"
"01:30 09/04";"02:30 09/04";"30"
"02:30 09/04";"03:30 09/04";"29"
"03:30 09/04";"04:30 09/04";"30"
"04:30 09/04";"05:30 09/04";"29"
"05:30 09/04";"06:30 09/04";"24"
"06:30 09/04";"07:30 09/04";"20"
"07:30 09/04";"08:30 09/04";"20"
"08:30 09/04";"09:30 09/04";"18"
"09:30 09/04";"10:30 09/04";"17"
"10:30 09/04";"11:30 09/04";"16"
"11:30 09/04";"12:30 09/04";"16"
"12:30 09/04";"13:30 09/04";"18"
"13:30 09/04";"14:30 09/04";"22"
"14:30 09/04";"15:30 09/04";"25"
