From;To;ID 2851 - PM2.5
"04:30 01/03";"05:30 01/03";"41"
"05:30 01/03";"06:30 01/03";"40"
"06:30 01/03";"07:30 01/03";"42"
"07:30 01/03";"08:30 01/03";"40"
"08:30 01/03";"09:30 01/03";"40"
"09:30 01/03";"10:30 01/03";"40"
"10:30 01/03";"11:30 01/03";"43"
"11:30 01/03";"12:30 01/03";"46"
"12:30 01/03";"13:30 01/03";"43"
"13:30 01/03";"14:30 01/03";"38"
"14:30 01/03";"15:30 01/03";"33"
"15:30 01/03";"16:30 01/03";"28"
"16:30 01/03";"17:30 01/03";"26"
"17:30 01/03";"18:30 01/03";"28"
"18:30 01/03";"19:30 01/03";"20"
"19:30 01/03";"20:30 01/03";"6"
"20:30 01/03";"21:30 01/03";"7"
"21:30 01/03";"22:30 01/03";"11"
"22:30 01/03";"23:30 01/03";"9"
"23:30 01/03";"00:30 02/03";"7"
"00:30 02/03";"01:30 02/03";"6"
"01:30 02/03";"02:30 02/03";"8"
"02:30 02/03";"03:30 02/03";"5"
"03:30 02/03";"04:30 02/03";"9"
"04:30 02/03";"05:30 02/03";"13"
"05:30 02/03";"06:30 02/03";"15"
"06:30 02/03";"07:30 02/03";"13"
"07:30 02/03";"08:30 02/03";"10"
"08:30 02/03";"09:30 02/03";"10"
"09:30 02/03";"10:30 02/03";"11"
"10:30 02/03";"11:30 02/03";"7"
"11:30 02/03";"12:30 02/03";"9"
"12:30 02/03";"13:30 02/03";"9"
"13:30 02/03";"14:30 02/03";"8"
"14:30 02/03";"15:30 02/03";"7"
"15:30 02/03";"16:30 02/03";"8"
"16:30 02/03";"17:30 02/03";"8"
"17:30 02/03";"18:30 02/03";"12"
"18:30 02/03";"19:30 02/03";"13"
"19:30 02/03";"20:30 02/03";"17"
"20:30 02/03";"21:30 02/03";"23"
"21:30 02/03";"22:30 02/03";"37"
"22:30 02/03";"23:30 02/03";"83"
"23:30 02/03";"00:30 03/03";"116"
"00:30 03/03";"01:30 03/03";"115"
"01:30 03/03";"02:30 03/03";"93"
"02:30 03/03";"03:30 03/03";"87"
"03:30 03/03";"04:30 03/03";"80"
"04:30 03/03";"05:30 03/03";"68"
"05:30 03/03";"06:30 03/03";"58"
"06:30 03/03";"07:30 03/03";"56"
"07:30 03/03";"08:30 03/03";"59"
"08:30 03/03";"09:30 03/03";"56"
"09:30 03/03";"10:30 03/03";"54"
"10:30 03/03";"11:30 03/03";"59"
"11:30 03/03";"12:30 03/03";"53"
"12:30 03/03";"13:30 03/03";"58"
"13:30 03/03";"14:30 03/03";"48"
"14:30 03/03";"15:30 03/03";"43"
"15:30 03/03";"16:30 03/03";"40"
"16:30 03/03";"17:30 03/03";"38"
"17:30 03/03";"18:30 03/03";"40"
"18:30 03/03";"19:30 03/03";"39"
"19:30 03/03";"20:30 03/03";"39"
"20:30 03/03";"21:30 03/03";"39"
"21:30 03/03";"22:30 03/03";"36"
"22:30 03/03";"23:30 03/03";"32"
"23:30 03/03";"00:30 04/03";"28"
"00:30 04/03";"01:30 04/03";"30"
"01:30 04/03";"02:30 04/03";"30"
"02:30 04/03";"03:30 04/03";"30"
"03:30 04/03";"04:30 04/03";"29"
"04:30 04/03";"05:30 04/03";"28"
"05:30 04/03";"06:30 04/03";"29"
"06:30 04/03";"07:30 04/03";"28"
"07:30 04/03";"08:30 04/03";"26"
"08:30 04/03";"09:30 04/03";"21"
"09:30 04/03";"10:30 04/03";"18"
"10:30 04/03";"11:30 04/03";"17"
"11:30 04/03";"12:30 04/03";"17"
"12:30 04/03";"13:30 04/03";"15"
"13:30 04/03";"14:30 04/03";"13"
"14:30 04/03";"15:30 04/03";"11"
"15:30 04/03";"16:30 04/03";"9"
"16:30 04/03";"17:30 04/03";"9"
"17:30 04/03";"18:30 04/03";"9"
"18:30 04/03";"19:30 04/03";"7"
"19:30 04/03";"20:30 04/03";"6"
"20:30 04/03";"21:30 04/03";"9"
"21:30 04/03";"22:30 04/03";"10"
"22:30 04/03";"23:30 04/03";"13"
"23:30 04/03";"00:30 05/03";"14"
"00:30 05/03";"01:30 05/03";"13"
"01:30 05/03";"02:30 05/03";"8"
"02:30 05/03";"03:30 05/03";"7"
"03:30 05/03";"04:30 05/03";"5"
"04:30 05/03";"05:30 05/03";"5"
"05:30 05/03";"06:30 05/03";"4"
"06:30 05/03";"07:30 05/03";"4"
"07:30 05/03";"08:30 05/03";"5"
"08:30 05/03";"09:30 05/03";"9"
"09:30 05/03";"10:30 05/03";"11"
"10:30 05/03";"11:30 05/03";"12"
"11:30 05/03";"12:30 05/03";"14"
"12:30 05/03";"13:30 05/03";"13"
"13:30 05/03";"14:30 05/03";"10"
"14:30 05/03";"15:30 05/03";"10"
"15:30 05/03";"16:30 05/03";"12"
"16:30 05/03";"17:30 05/03";"13"
"17:30 05/03";"18:30 05/03";"14"
"18:30 05/03";"19:30 05/03";"15"
"19:30 05/03";"20:30 05/03";"12"
"20:30 05/03";"21:30 05/03";"9"
