From;To;ID 2851 - PM2.5
"03:30 01/05";"04:30 01/05";"38"
"04:30 01/05";"05:30 01/05";"27"
"05:30 01/05";"06:30 01/05";"25"
"06:30 01/05";"07:30 01/05";"26"
"07:30 01/05";"08:30 01/05";"26"
"08:30 01/05";"09:30 01/05";"22"
"09:30 01/05";"10:30 01/05";"21"
"10:30 01/05";"11:30 01/05";"18"
"11:30 01/05";"12:30 01/05";"12"
"12:30 01/05";"13:30 01/05";"12"
"13:30 01/05";"14:30 01/05";"11"
"14:30 01/05";"15:30 01/05";"9"
"15:30 01/05";"16:30 01/05";"9"
"16:30 01/05";"17:30 01/05";"9"
"17:30 01/05";"18:30 01/05";"8"
"18:30 01/05";"19:30 01/05";"8"
"19:30 01/05";"20:30 01/05";"7"
"20:30 01/05";"21:30 01/05";"7"
"21:30 01/05";"22:30 01/05";"10"
"22:30 01/05";"23:30 01/05";"17"
"23:30 01/05";"00:30 02/05";"21"
"00:30 02/05";"01:30 02/05";"25"
"01:30 02/05";"02:30 02/05";"13"
"02:30 02/05";"03:30 02/05";"18"
"03:30 02/05";"04:30 02/05";"13"
"04:30 02/05";"05:30 02/05";"14"
"05:30 02/05";"06:30 02/05";""
"06:30 02/05";"07:30 02/05";""
"07:30 02/05";"08:30 02/05";""
"08:30 02/05";"09:30 02/05";""
"09:30 02/05";"10:30 02/05";""
"10:30 02/05";"11:30 02/05";""
"11:30 02/05";"12:30 02/05";""
"12:30 02/05";"13:30 02/05";""
"13:30 02/05";"14:30 02/05";"19"
"14:30 02/05";"15:30 02/05";"19"
"15:30 02/05";"16:30 02/05";"17"
"16:30 02/05";"17:30 02/05";"21"
"17:30 02/05";"18:30 02/05";"16"
"18:30 02/05";"19:30 02/05";"17"
"19:30 02/05";"20:30 02/05";"18"
"20:30 02/05";"21:30 02/05";"22"
"21:30 02/05";"22:30 02/05";"19"
"22:30 02/05";"23:30 02/05";"15"
"23:30 02/05";"00:30 03/05";"15"
"00:30 03/05";"01:30 03/05";"17"
"01:30 03/05";"02:30 03/05";"17"
"02:30 03/05";"03:30 03/05";"18"
"03:30 03/05";"04:30 03/05";"20"
"04:30 03/05";"05:30 03/05";"21"
"05:30 03/05";"06:30 03/05";"24"
"06:30 03/05";"07:30 03/05";"24"
"07:30 03/05";"08:30 03/05";"24"
"08:30 03/05";"09:30 03/05";"25"
"09:30 03/05";"10:30 03/05";"26"
"10:30 03/05";"11:30 03/05";"8"
"11:30 03/05";"12:30 03/05";"6"
"12:30 03/05";"13:30 03/05";"7"
"13:30 03/05";"14:30 03/05";"9"
"14:30 03/05";"15:30 03/05";"9"
"15:30 03/05";"16:30 03/05";"8"
"16:30 03/05";"17:30 03/05";"7"
"17:30 03/05";"18:30 03/05";"4"
"18:30 03/05";"19:30 03/05";"4"
