From;To;ID 2851 - PM2.5
"03:30 01/09";"04:30 01/09";"21"
"04:30 01/09";"05:30 01/09";"21"
"05:30 01/09";"06:30 01/09";"22"
"06:30 01/09";"07:30 01/09";"21"
"07:30 01/09";"08:30 01/09";"20"
"08:30 01/09";"09:30 01/09";"19"
"09:30 01/09";"10:30 01/09";"19"
"10:30 01/09";"11:30 01/09";"18"
"11:30 01/09";"12:30 01/09";"24"
"12:30 01/09";"13:30 01/09";"15"
"13:30 01/09";"14:30 01/09";"13"
"14:30 01/09";"15:30 01/09";"12"
"15:30 01/09";"16:30 01/09";"13"
"16:30 01/09";"17:30 01/09";"13"
"17:30 01/09";"18:30 01/09";"15"
"18:30 01/09";"19:30 01/09";"15"
"19:30 01/09";"20:30 01/09";"14"
"20:30 01/09";"21:30 01/09";"15"
"21:30 01/09";"22:30 01/09";"17"
"22:30 01/09";"23:30 01/09";"19"
"23:30 01/09";"00:30 02/09";"22"
"00:30 02/09";"01:30 02/09";"23"
"01:30 02/09";"02:30 02/09";"24"
"02:30 02/09";"03:30 02/09";"25"
"03:30 02/09";"04:30 02/09";"25"
"04:30 02/09";"05:30 02/09";"27"
"05:30 02/09";"06:30 02/09";"28"
"06:30 02/09";"07:30 02/09";"28"
"07:30 02/09";"08:30 02/09";"29"
"08:30 02/09";"09:30 02/09";"29"
"09:30 02/09";"10:30 02/09";"30"
"10:30 02/09";"11:30 02/09";"28"
"11:30 02/09";"12:30 02/09";"25"
"12:30 02/09";"13:30 02/09";"21"
"13:30 02/09";"14:30 02/09";"15"
"14:30 02/09";"15:30 02/09";"13"
"15:30 02/09";"16:30 02/09";"12"
"16:30 02/09";"17:30 02/09";"12"
"17:30 02/09";"18:30 02/09";"10"
"18:30 02/09";"19:30 02/09";"8"
"19:30 02/09";"20:30 02/09";"7"
"20:30 02/09";"21:30 02/09";"4"
"21:30 02/09";"22:30 02/09";"4"
"22:30 02/09";"23:30 02/09";"5"
"23:30 02/09";"00:30 03/09";"5"
"00:30 03/09";"01:30 03/09";"4"
"01:30 03/09";"02:30 03/09";"6"
"02:30 03/09";"03:30 03/09";"6"
"03:30 03/09";"04:30 03/09";"7"
"04:30 03/09";"05:30 03/09";"6"
"05:30 03/09";"06:30 03/09";"4"
