From;To;ID 2851 - PM2.5
"01/01/2020";"02/01/2020";"26"
"02/01/2020";"03/01/2020";"42"
"03/01/2020";"04/01/2020";"60"
"04/01/2020";"05/01/2020";"16"
"05/01/2020";"06/01/2020";"21"
"06/01/2020";"07/01/2020";"41"
"07/01/2020";"08/01/2020";"45"
"08/01/2020";"09/01/2020";"42"
"09/01/2020";"10/01/2020";"33"
"10/01/2020";"11/01/2020";"35"
"11/01/2020";"12/01/2020";"17"
"12/01/2020";"13/01/2020";"28"
"13/01/2020";"14/01/2020";"32"
"14/01/2020";"15/01/2020";"43"
"15/01/2020";"16/01/2020";"36"
"16/01/2020";"17/01/2020";"48"
"17/01/2020";"18/01/2020";"79"
"18/01/2020";"19/01/2020";"50"
"19/01/2020";"20/01/2020";"85"
"20/01/2020";"21/01/2020";"39"
"21/01/2020";"22/01/2020";"29"
"22/01/2020";"23/01/2020";"24"
"23/01/2020";"24/01/2020";"29"
"24/01/2020";"25/01/2020";"43"
"25/01/2020";"26/01/2020";"44"
"26/01/2020";"27/01/2020";"43"
"27/01/2020";"28/01/2020";"65"
"28/01/2020";"29/01/2020";"56"
"29/01/2020";"30/01/2020";"19"
"30/01/2020";"31/01/2020";"19"
"31/01/2020";"01/02/2020";"16"
"01/02/2020";"02/02/2020";"19"
"02/02/2020";"03/02/2020";"11"
"03/02/2020";"04/02/2020";"21"
"04/02/2020";"05/02/2020";"24"
"05/02/2020";"06/02/2020";"23"
"06/02/2020";"07/02/2020";"26"
"07/02/2020";"08/02/2020";"45"
"08/02/2020";"09/02/2020";"47"
"09/02/2020";"10/02/2020";"42"
"10/02/2020";"11/02/2020";"12"
"11/02/2020";"12/02/2020";"8"
"12/02/2020";"13/02/2020";"9"
"13/02/2020";"14/02/2020";"20"
"14/02/2020";"15/02/2020";"52"
"15/02/2020";"16/02/2020";"49"
"16/02/2020";"17/02/2020";"28"
"17/02/2020";"18/02/2020";"13"
"18/02/2020";"19/02/2020";"13"
"19/02/2020";"20/02/2020";"15"
"20/02/2020";"21/02/2020";"25"
"21/02/2020";"22/02/2020";"27"
"22/02/2020";"23/02/2020";"18"
"23/02/2020";"24/02/2020";"9"
"24/02/2020";"25/02/2020";"13"
"25/02/2020";"26/02/2020";"19"
"26/02/2020";"27/02/2020";"22"
"27/02/2020";"28/02/2020";"24"
"28/02/2020";"29/02/2020";"36"
"29/02/2020";"01/03/2020";"20"
"01/03/2020";"02/03/2020";"16"
"02/03/2020";"03/03/2020";"36"
"03/03/2020";"04/03/2020";"35"
"04/03/2020";"05/03/2020";"31"
"05/03/2020";"06/03/2020";"40"
"06/03/2020";"07/03/2020";"36"
"07/03/2020";"08/03/2020";"33"
"08/03/2020";"09/03/2020";"27"
"09/03/2020";"10/03/2020";"37"
"10/03/2020";"11/03/2020";"33"
"11/03/2020";"12/03/2020";"10"
"12/03/2020";"13/03/2020";"13"
"13/03/2020";"14/03/2020";"9"
"14/03/2020";"15/03/2020";"23"
"15/03/2020";"16/03/2020";"44"
"16/03/2020";"17/03/2020";"22"
"17/03/2020";"18/03/2020";"52"
"18/03/2020";"19/03/2020";"65"
"19/03/2020";"20/03/2020";"34"
"20/03/2020";"21/03/2020";"24"
"21/03/2020";"22/03/2020";"11"
"22/03/2020";"23/03/2020";"11"
"23/03/2020";"24/03/2020";"32"
"24/03/2020";"25/03/2020";"62"
"25/03/2020";"26/03/2020";"58"
"26/03/2020";"27/03/2020";"38"
"27/03/2020";"28/03/2020";"54"
"28/03/2020";"29/03/2020";"96"
"29/03/2020";"30/03/2020";"89"
"30/03/2020";"31/03/2020";"16"
"31/03/2020";"01/04/2020";"46"
"01/04/2020";"02/04/2020";"24"
"02/04/2020";"03/04/2020";"30"
"03/04/2020";"04/04/2020";"29"
"04/04/2020";"05/04/2020";"44"
"05/04/2020";"06/04/2020";"94"
"06/04/2020";"07/04/2020";"31"
"07/04/2020";"08/04/2020";"31"
"08/04/2020";"09/04/2020";"22"
"09/04/2020";"10/04/2020";"39"
"10/04/2020";"11/04/2020";"24"
"11/04/2020";"12/04/2020";"21"
"12/04/2020";"13/04/2020";"16"
"13/04/2020";"14/04/2020";"20"
"14/04/2020";"15/04/2020";"13"
"15/04/2020";"16/04/2020";"18"
"16/04/2020";"17/04/2020";"16"
"17/04/2020";"18/04/2020";"14"
"18/04/2020";"19/04/2020";"29"
"19/04/2020";"20/04/2020";"28"
"20/04/2020";"21/04/2020";"12"
"21/04/2020";"22/04/2020";"29"
"22/04/2020";"23/04/2020";"23"
"23/04/2020";"24/04/2020";"27"
"24/04/2020";"25/04/2020";"19"
"25/04/2020";"26/04/2020";"14"
"26/04/2020";"27/04/2020";"17"
"27/04/2020";"28/04/2020";"20"
"28/04/2020";"29/04/2020";"14"
"29/04/2020";"30/04/2020";"16"
"30/04/2020";"01/05/2020";"11"
"01/05/2020";"02/05/2020";"23"
"02/05/2020";"03/05/2020";"18"
"03/05/2020";"04/05/2020";"23"
"04/05/2020";"05/05/2020";"22"
"05/05/2020";"06/05/2020";"27"
"06/05/2020";"07/05/2020";"12"
"07/05/2020";"08/05/2020";"10"
"08/05/2020";"09/05/2020";"17"
"09/05/2020";"10/05/2020";"26"
"10/05/2020";"11/05/2020";"19"
"11/05/2020";"12/05/2020";"18"
"12/05/2020";"13/05/2020";"5"
"13/05/2020";"14/05/2020";"16"
"14/05/2020";"15/05/2020";"17"
"15/05/2020";"16/05/2020";"25"
"16/05/2020";"17/05/2020";"13"
"17/05/2020";"18/05/2020";"13"
"18/05/2020";"19/05/2020";"12"
"19/05/2020";"20/05/2020";"18"
"20/05/2020";"21/05/2020";"8"
"21/05/2020";"22/05/2020";"4"
"22/05/2020";"23/05/2020";"13"
"23/05/2020";"24/05/2020";"25"
"24/05/2020";"25/05/2020";"11"
"25/05/2020";"26/05/2020";"12"
"26/05/2020";"27/05/2020";"10"
"27/05/2020";"28/05/2020";"12"
"28/05/2020";"29/05/2020";"13"
"29/05/2020";"30/05/2020";"2"
"30/05/2020";"31/05/2020";"3"
"31/05/2020";"01/06/2020";"5"
"01/06/2020";"02/06/2020";"3"
"02/06/2020";"03/06/2020";"4"
"03/06/2020";"04/06/2020";"8"
"04/06/2020";"05/06/2020";"14"
"05/06/2020";"06/06/2020";"12"
"06/06/2020";"07/06/2020";"7"
"07/06/2020";"08/06/2020";"10"
"08/06/2020";"09/06/2020";"17"
"09/06/2020";"10/06/2020";"10"
"10/06/2020";"11/06/2020";"17"
"11/06/2020";"12/06/2020";"18"
"12/06/2020";"13/06/2020";"11"
"13/06/2020";"14/06/2020";"16"
"14/06/2020";"15/06/2020";"7"
"15/06/2020";"16/06/2020";"10"
"16/06/2020";"17/06/2020";"13"
"17/06/2020";"18/06/2020";"15"
"18/06/2020";"19/06/2020";"19"
"19/06/2020";"20/06/2020";"14"
"20/06/2020";"21/06/2020";"17"
"21/06/2020";"22/06/2020";"18"
"22/06/2020";"23/06/2020";"18"
"23/06/2020";"24/06/2020";"5"
"24/06/2020";"25/06/2020";"16"
"25/06/2020";"26/06/2020";"15"
"26/06/2020";"27/06/2020";"14"
"27/06/2020";"28/06/2020";"13"
"28/06/2020";"29/06/2020";"24"
"29/06/2020";"30/06/2020";"16"
"30/06/2020";"01/07/2020";"10"
"01/07/2020";"02/07/2020";"8"
"02/07/2020";"03/07/2020";"7"
"03/07/2020";"04/07/2020";"17"
"04/07/2020";"05/07/2020";"12"
"05/07/2020";"06/07/2020";"11"
"06/07/2020";"07/07/2020";"9"
"07/07/2020";"08/07/2020";"4"
"08/07/2020";"09/07/2020";"6"
"09/07/2020";"10/07/2020";"10"
"10/07/2020";"11/07/2020";"12"
"11/07/2020";"12/07/2020";"7"
"12/07/2020";"13/07/2020";"7"
"13/07/2020";"14/07/2020";"4"
"14/07/2020";"15/07/2020";"10"
"15/07/2020";"16/07/2020";"14"
"16/07/2020";"17/07/2020";"16"
"17/07/2020";"18/07/2020";"12"
"18/07/2020";"19/07/2020";"18"
"19/07/2020";"20/07/2020";"19"
"20/07/2020";"21/07/2020";"16"
"21/07/2020";"22/07/2020";"8"
"22/07/2020";"23/07/2020";"4"
"23/07/2020";"24/07/2020";"5"
"24/07/2020";"25/07/2020";"9"
"25/07/2020";"26/07/2020";"12"
"26/07/2020";"27/07/2020";"11"
"27/07/2020";"28/07/2020";"11"
"28/07/2020";"29/07/2020";"14"
"29/07/2020";"30/07/2020";"10"
"30/07/2020";"31/07/2020";"9"
"31/07/2020";"01/08/2020";"5"
"01/08/2020";"02/08/2020";"7"
"02/08/2020";"03/08/2020";"12"
"03/08/2020";"04/08/2020";"17"
"04/08/2020";"05/08/2020";"18"
"05/08/2020";"06/08/2020";"5"
"06/08/2020";"07/08/2020";"5"
"07/08/2020";"08/08/2020";"11"
"08/08/2020";"09/08/2020";"15"
"09/08/2020";"10/08/2020";"19"
"10/08/2020";"11/08/2020";"15"
