From;To;ID 2851 - PM2.5
"04:30 01/02";"05:30 01/02";"13"
"05:30 01/02";"06:30 01/02";"13"
"06:30 01/02";"07:30 01/02";"9"
"07:30 01/02";"08:30 01/02";"14"
"08:30 01/02";"09:30 01/02";"19"
"09:30 01/02";"10:30 01/02";"25"
"10:30 01/02";"11:30 01/02";"31"
"11:30 01/02";"12:30 01/02";"30"
"12:30 01/02";"13:30 01/02";"27"
"13:30 01/02";"14:30 01/02";"22"
"14:30 01/02";"15:30 01/02";"17"
"15:30 01/02";"16:30 01/02";"14"
"16:30 01/02";"17:30 01/02";"15"
"17:30 01/02";"18:30 01/02";"16"
"18:30 01/02";"19:30 01/02";"12"
"19:30 01/02";"20:30 01/02";"15"
"20:30 01/02";"21:30 01/02";"18"
"21:30 01/02";"22:30 01/02";"23"
"22:30 01/02";"23:30 01/02";"22"
"23:30 01/02";"00:30 02/02";"20"
"00:30 02/02";"01:30 02/02";"19"
"01:30 02/02";"02:30 02/02";"19"
"02:30 02/02";"03:30 02/02";"19"
"03:30 02/02";"04:30 02/02";"18"
"04:30 02/02";"05:30 02/02";"12"
"05:30 02/02";"06:30 02/02";"11"
"06:30 02/02";"07:30 02/02";"11"
"07:30 02/02";"08:30 02/02";"7"
"08:30 02/02";"09:30 02/02";"5"
"09:30 02/02";"10:30 02/02";"5"
"10:30 02/02";"11:30 02/02";"3"
"11:30 02/02";"12:30 02/02";"5"
"12:30 02/02";"13:30 02/02";"5"
"13:30 02/02";"14:30 02/02";"5"
"14:30 02/02";"15:30 02/02";"5"
"15:30 02/02";"16:30 02/02";"6"
"16:30 02/02";"17:30 02/02";"9"
"17:30 02/02";"18:30 02/02";"10"
"18:30 02/02";"19:30 02/02";"7"
"19:30 02/02";"20:30 02/02";"5"
"20:30 02/02";"21:30 02/02";"7"
"21:30 02/02";"22:30 02/02";"19"
"22:30 02/02";"23:30 02/02";"18"
"23:30 02/02";"00:30 03/02";"14"
"00:30 03/02";"01:30 03/02";"17"
"01:30 03/02";"02:30 03/02";"27"
"02:30 03/02";"03:30 03/02";"25"
"03:30 03/02";"04:30 03/02";"24"
"04:30 03/02";"05:30 03/02";"26"
