From;To;ID 2851 - PM2.5
"04:30 01/01";"05:30 01/01";"27"
"05:30 01/01";"06:30 01/01";"27"
"06:30 01/01";"07:30 01/01";"18"
"07:30 01/01";"08:30 01/01";"19"
"08:30 01/01";"09:30 01/01";"22"
"09:30 01/01";"10:30 01/01";"22"
"10:30 01/01";"11:30 01/01";"24"
"11:30 01/01";"12:30 01/01";"25"
"12:30 01/01";"13:30 01/01";"22"
"13:30 01/01";"14:30 01/01";"27"
"14:30 01/01";"15:30 01/01";"25"
"15:30 01/01";"16:30 01/01";"24"
"16:30 01/01";"17:30 01/01";"24"
"17:30 01/01";"18:30 01/01";"25"
"18:30 01/01";"19:30 01/01";"32"
"19:30 01/01";"20:30 01/01";"30"
"20:30 01/01";"21:30 01/01";"27"
"21:30 01/01";"22:30 01/01";"27"
"22:30 01/01";"23:30 01/01";"28"
"23:30 01/01";"00:30 02/01";"27"
"00:30 02/01";"01:30 02/01";"29"
"01:30 02/01";"02:30 02/01";"29"
"02:30 02/01";"03:30 02/01";"29"
"03:30 02/01";"04:30 02/01";"30"
"04:30 02/01";"05:30 02/01";"30"
"05:30 02/01";"06:30 02/01";"30"
"06:30 02/01";"07:30 02/01";"30"
"07:30 02/01";"08:30 02/01";"29"
"08:30 02/01";"09:30 02/01";"28"
"09:30 02/01";"10:30 02/01";"27"
"10:30 02/01";"11:30 02/01";"30"
"11:30 02/01";"12:30 02/01";"32"
"12:30 02/01";"13:30 02/01";"32"
"13:30 02/01";"14:30 02/01";"34"
"14:30 02/01";"15:30 02/01";"32"
"15:30 02/01";"16:30 02/01";"31"
"16:30 02/01";"17:30 02/01";"29"
"17:30 02/01";"18:30 02/01";"31"
"18:30 02/01";"19:30 02/01";"33"
"19:30 02/01";"20:30 02/01";"38"
"20:30 02/01";"21:30 02/01";"42"
"21:30 02/01";"22:30 02/01";"43"
"22:30 02/01";"23:30 02/01";"48"
"23:30 02/01";"00:30 03/01";"52"
"00:30 03/01";"01:30 03/01";"58"
"01:30 03/01";"02:30 03/01";"64"
"02:30 03/01";"03:30 03/01";"88"
"03:30 03/01";"04:30 03/01";"119"
"04:30 03/01";"05:30 03/01";"136"
"05:30 03/01";"06:30 03/01";"132"
"06:30 03/01";"07:30 03/01";"149"
"07:30 03/01";"08:30 03/01";"121"
"08:30 03/01";"09:30 03/01";"65"
"09:30 03/01";"10:30 03/01";"53"
"10:30 03/01";"11:30 03/01";"50"
"11:30 03/01";"12:30 03/01";"50"
"12:30 03/01";"13:30 03/01";"51"
"13:30 03/01";"14:30 03/01";"50"
"14:30 03/01";"15:30 03/01";"42"
"15:30 03/01";"16:30 03/01";"38"
"16:30 03/01";"17:30 03/01";"36"
"17:30 03/01";"18:30 03/01";"32"
"18:30 03/01";"19:30 03/01";"37"
"19:30 03/01";"20:30 03/01";"42"
"20:30 03/01";"21:30 03/01";"44"
"21:30 03/01";"22:30 03/01";"47"
"22:30 03/01";"23:30 03/01";"45"
"23:30 03/01";"00:30 04/01";"41"
"00:30 04/01";"01:30 04/01";"39"
"01:30 04/01";"02:30 04/01";"37"
"02:30 04/01";"03:30 04/01";"34"
"03:30 04/01";"04:30 04/01";""
"04:30 04/01";"05:30 04/01";"34"
"05:30 04/01";"06:30 04/01";"31"
"06:30 04/01";"07:30 04/01";"30"
"07:30 04/01";"08:30 04/01";"30"
"08:30 04/01";"09:30 04/01";"24"
"09:30 04/01";"10:30 04/01";"14"
"10:30 04/01";"11:30 04/01";"9"
"11:30 04/01";"12:30 04/01";"7"
"12:30 04/01";"13:30 04/01";"8"
"13:30 04/01";"14:30 04/01";"9"
"14:30 04/01";"15:30 04/01";"9"
"15:30 04/01";"16:30 04/01";"11"
"16:30 04/01";"17:30 04/01";"12"
"17:30 04/01";"18:30 04/01";"13"
"18:30 04/01";"19:30 04/01";"15"
"19:30 04/01";"20:30 04/01";"12"
