From;To;ID 2851 - PM2.5
"03:30 01/10";"04:30 01/10";"19"
"04:30 01/10";"05:30 01/10";"17"
"05:30 01/10";"06:30 01/10";"17"
"06:30 01/10";"07:30 01/10";"17"
"07:30 01/10";"08:30 01/10";"16"
"08:30 01/10";"09:30 01/10";"16"
"09:30 01/10";"10:30 01/10";"16"
"10:30 01/10";"11:30 01/10";"18"
"11:30 01/10";"12:30 01/10";"18"
"12:30 01/10";"13:30 01/10";"17"
"13:30 01/10";"14:30 01/10";"15"
"14:30 01/10";"15:30 01/10";"15"
"15:30 01/10";"16:30 01/10";"16"
"16:30 01/10";"17:30 01/10";"16"
"17:30 01/10";"18:30 01/10";"16"
"18:30 01/10";"19:30 01/10";"18"
"19:30 01/10";"20:30 01/10";"19"
"20:30 01/10";"21:30 01/10";"20"
"21:30 01/10";"22:30 01/10";"23"
"22:30 01/10";"23:30 01/10";"27"
"23:30 01/10";"00:30 02/10";"21"
"00:30 02/10";"01:30 02/10";"12"
"01:30 02/10";"02:30 02/10";"13"
"02:30 02/10";"03:30 02/10";"7"
"03:30 02/10";"04:30 02/10";"6"
"04:30 02/10";"05:30 02/10";"8"
"05:30 02/10";"06:30 02/10";"8"
"06:30 02/10";"07:30 02/10";"7"
"07:30 02/10";"08:30 02/10";"7"
"08:30 02/10";"09:30 02/10";"9"
"09:30 02/10";"10:30 02/10";"11"
"10:30 02/10";"11:30 02/10";"11"
"11:30 02/10";"12:30 02/10";"11"
"12:30 02/10";"13:30 02/10";"11"
"13:30 02/10";"14:30 02/10";"11"
"14:30 02/10";"15:30 02/10";"9"
"15:30 02/10";"16:30 02/10";"8"
"16:30 02/10";"17:30 02/10";"8"
"17:30 02/10";"18:30 02/10";"11"
"18:30 02/10";"19:30 02/10";"12"
"19:30 02/10";"20:30 02/10";"13"
"20:30 02/10";"21:30 02/10";"14"
"21:30 02/10";"22:30 02/10";"20"
"22:30 02/10";"23:30 02/10";"22"
"23:30 02/10";"00:30 03/10";"23"
"00:30 03/10";"01:30 03/10";"23"
"01:30 03/10";"02:30 03/10";"20"
"02:30 03/10";"03:30 03/10";"22"
"03:30 03/10";"04:30 03/10";"21"
"04:30 03/10";"05:30 03/10";"19"
"05:30 03/10";"06:30 03/10";"20"
"06:30 03/10";"07:30 03/10";"19"
"07:30 03/10";"08:30 03/10";"19"
"08:30 03/10";"09:30 03/10";"19"
"09:30 03/10";"10:30 03/10";"19"
"10:30 03/10";"11:30 03/10";"18"
"11:30 03/10";"12:30 03/10";"17"
"12:30 03/10";"13:30 03/10";"15"
"13:30 03/10";"14:30 03/10";"13"
"14:30 03/10";"15:30 03/10";"12"
"15:30 03/10";"16:30 03/10";"12"
"16:30 03/10";"17:30 03/10";"11"
"17:30 03/10";"18:30 03/10";"11"
"18:30 03/10";"19:30 03/10";"11"
"19:30 03/10";"20:30 03/10";"11"
"20:30 03/10";"21:30 03/10";"12"
"21:30 03/10";"22:30 03/10";"12"
"22:30 03/10";"23:30 03/10";"12"
"23:30 03/10";"00:30 04/10";"13"
"00:30 04/10";"01:30 04/10";"14"
"01:30 04/10";"02:30 04/10";"15"
"02:30 04/10";"03:30 04/10";"15"
"03:30 04/10";"04:30 04/10";"14"
"04:30 04/10";"05:30 04/10";"14"
"05:30 04/10";"06:30 04/10";"13"
"06:30 04/10";"07:30 04/10";"14"
"07:30 04/10";"08:30 04/10";"13"
"08:30 04/10";"09:30 04/10";"13"
"09:30 04/10";"10:30 04/10";"13"
"10:30 04/10";"11:30 04/10";"13"
"11:30 04/10";"12:30 04/10";"12"
"12:30 04/10";"13:30 04/10";"11"
"13:30 04/10";"14:30 04/10";"11"
"14:30 04/10";"15:30 04/10";"10"
"15:30 04/10";"16:30 04/10";"9"
"16:30 04/10";"17:30 04/10";"9"
"17:30 04/10";"18:30 04/10";"6"
"18:30 04/10";"19:30 04/10";"4"
"19:30 04/10";"20:30 04/10";"4"
"20:30 04/10";"21:30 04/10";"5"
"21:30 04/10";"22:30 04/10";"5"
"22:30 04/10";"23:30 04/10";"9"
"23:30 04/10";"00:30 05/10";"13"
"00:30 05/10";"01:30 05/10";"14"
"01:30 05/10";"02:30 05/10";"26"
"02:30 05/10";"03:30 05/10";"16"
"03:30 05/10";"04:30 05/10";"13"
"04:30 05/10";"05:30 05/10";"14"
"05:30 05/10";"06:30 05/10";"14"
"06:30 05/10";"07:30 05/10";"14"
"07:30 05/10";"08:30 05/10";"18"
"08:30 05/10";"09:30 05/10";"17"
"09:30 05/10";"10:30 05/10";"17"
"10:30 05/10";"11:30 05/10";"16"
"11:30 05/10";"12:30 05/10";"12"
"12:30 05/10";"13:30 05/10";"8"
"13:30 05/10";"14:30 05/10";"5"
"14:30 05/10";"15:30 05/10";"4"
"15:30 05/10";"16:30 05/10";"3"
"16:30 05/10";"17:30 05/10";"3"
"17:30 05/10";"18:30 05/10";"5"
"18:30 05/10";"19:30 05/10";"10"
"19:30 05/10";"20:30 05/10";"15"
"20:30 05/10";"21:30 05/10";"27"
"21:30 05/10";"22:30 05/10";"32"
"22:30 05/10";"23:30 05/10";"31"
"23:30 05/10";"00:30 06/10";"13"
"00:30 06/10";"01:30 06/10";"7"
"01:30 06/10";"02:30 06/10";"8"
"02:30 06/10";"03:30 06/10";"9"
"03:30 06/10";"04:30 06/10";"10"
"04:30 06/10";"05:30 06/10";"9"
"05:30 06/10";"06:30 06/10";"9"
"06:30 06/10";"07:30 06/10";"8"
"07:30 06/10";"08:30 06/10";"8"
"08:30 06/10";"09:30 06/10";"12"
"09:30 06/10";"10:30 06/10";"14"
"10:30 06/10";"11:30 06/10";"15"
"11:30 06/10";"12:30 06/10";"15"
"12:30 06/10";"13:30 06/10";"11"
"13:30 06/10";"14:30 06/10";"8"
"14:30 06/10";"15:30 06/10";"6"
"15:30 06/10";"16:30 06/10";"4"
"16:30 06/10";"17:30 06/10";"3"
"17:30 06/10";"18:30 06/10";"2"
"18:30 06/10";"19:30 06/10";"2"
"19:30 06/10";"20:30 06/10";"2"
"20:30 06/10";"21:30 06/10";"1"
"21:30 06/10";"22:30 06/10";"4"
"22:30 06/10";"23:30 06/10";"9"
"23:30 06/10";"00:30 07/10";"51"
"00:30 07/10";"01:30 07/10";"52"
"01:30 07/10";"02:30 07/10";"18"
"02:30 07/10";"03:30 07/10";"17"
"03:30 07/10";"04:30 07/10";"19"
"04:30 07/10";"05:30 07/10";"20"
"05:30 07/10";"06:30 07/10";"20"
"06:30 07/10";"07:30 07/10";"21"
"07:30 07/10";"08:30 07/10";"22"
"08:30 07/10";"09:30 07/10";"21"
"09:30 07/10";"10:30 07/10";"23"
"10:30 07/10";"11:30 07/10";"25"
"11:30 07/10";"12:30 07/10";"25"
"12:30 07/10";"13:30 07/10";"22"
"13:30 07/10";"14:30 07/10";"19"
"14:30 07/10";"15:30 07/10";"13"
"15:30 07/10";"16:30 07/10";"11"
"16:30 07/10";"17:30 07/10";"10"
"17:30 07/10";"18:30 07/10";"10"
"18:30 07/10";"19:30 07/10";"12"
"19:30 07/10";"20:30 07/10";"13"
"20:30 07/10";"21:30 07/10";"17"
"21:30 07/10";"22:30 07/10";"30"
"22:30 07/10";"23:30 07/10";"29"
"23:30 07/10";"00:30 08/10";"33"
"00:30 08/10";"01:30 08/10";"38"
"01:30 08/10";"02:30 08/10";"39"
"02:30 08/10";"03:30 08/10";"34"
"03:30 08/10";"04:30 08/10";"35"
"04:30 08/10";"05:30 08/10";"33"
"05:30 08/10";"06:30 08/10";"32"
"06:30 08/10";"07:30 08/10";"32"
"07:30 08/10";"08:30 08/10";"33"
"08:30 08/10";"09:30 08/10";"31"
"09:30 08/10";"10:30 08/10";"31"
"10:30 08/10";"11:30 08/10";"31"
"11:30 08/10";"12:30 08/10";"30"
"12:30 08/10";"13:30 08/10";"28"
"13:30 08/10";"14:30 08/10";"28"
"14:30 08/10";"15:30 08/10";"26"
"15:30 08/10";"16:30 08/10";"25"
"16:30 08/10";"17:30 08/10";"26"
"17:30 08/10";"18:30 08/10";"22"
"18:30 08/10";"19:30 08/10";"22"
"19:30 08/10";"20:30 08/10";"18"
"20:30 08/10";"21:30 08/10";"23"
"21:30 08/10";"22:30 08/10";"34"
"22:30 08/10";"23:30 08/10";"48"
"23:30 08/10";"00:30 09/10";"46"
"00:30 09/10";"01:30 09/10";"49"
"01:30 09/10";"02:30 09/10";"40"
"02:30 09/10";"03:30 09/10";"34"
"03:30 09/10";"04:30 09/10";"32"
"04:30 09/10";"05:30 09/10";"29"
"05:30 09/10";"06:30 09/10";"24"
"06:30 09/10";"07:30 09/10";"23"
"07:30 09/10";"08:30 09/10";"21"
"08:30 09/10";"09:30 09/10";"23"
"09:30 09/10";"10:30 09/10";"21"
"10:30 09/10";"11:30 09/10";"22"
"11:30 09/10";"12:30 09/10";"22"
"12:30 09/10";"13:30 09/10";"21"
"13:30 09/10";"14:30 09/10";"19"
"14:30 09/10";"15:30 09/10";"15"
"15:30 09/10";"16:30 09/10";"16"
"16:30 09/10";"17:30 09/10";"15"
"17:30 09/10";"18:30 09/10";"17"
"18:30 09/10";"19:30 09/10";"11"
"19:30 09/10";"20:30 09/10";"11"
"20:30 09/10";"21:30 09/10";"12"
"21:30 09/10";"22:30 09/10";"19"
"22:30 09/10";"23:30 09/10";"25"
"23:30 09/10";"00:30 10/10";"31"
"00:30 10/10";"01:30 10/10";"31"
"01:30 10/10";"02:30 10/10";"30"
"02:30 10/10";"03:30 10/10";"29"
"03:30 10/10";"04:30 10/10";"39"
"04:30 10/10";"05:30 10/10";"34"
"05:30 10/10";"06:30 10/10";"35"
"06:30 10/10";"07:30 10/10";"31"
"07:30 10/10";"08:30 10/10";"30"
"08:30 10/10";"09:30 10/10";"31"
"09:30 10/10";"10:30 10/10";"31"
"10:30 10/10";"11:30 10/10";"33"
"11:30 10/10";"12:30 10/10";"33"
"12:30 10/10";"13:30 10/10";"27"
"13:30 10/10";"14:30 10/10";"21"
"14:30 10/10";"15:30 10/10";"18"
"15:30 10/10";"16:30 10/10";"14"
"16:30 10/10";"17:30 10/10";"12"
"17:30 10/10";"18:30 10/10";"11"
"18:30 10/10";"19:30 10/10";"12"
"19:30 10/10";"20:30 10/10";"12"
"20:30 10/10";"21:30 10/10";"14"
"21:30 10/10";"22:30 10/10";"17"
"22:30 10/10";"23:30 10/10";"20"
"23:30 10/10";"00:30 11/10";"11"
"00:30 11/10";"01:30 11/10";"21"
"01:30 11/10";"02:30 11/10";"20"
"02:30 11/10";"03:30 11/10";"18"
"03:30 11/10";"04:30 11/10";"21"
"04:30 11/10";"05:30 11/10";"22"
