From;To;ID 86697 - PM2.5
"01/01/2021";"02/01/2021";"39"
"02/01/2021";"03/01/2021";"49"
"03/01/2021";"04/01/2021";"42"
"04/01/2021";"05/01/2021";"32"
"05/01/2021";"06/01/2021";"19"
"06/01/2021";"07/01/2021";"31"
"07/01/2021";"08/01/2021";"31"
"08/01/2021";"09/01/2021";"43"
"09/01/2021";"10/01/2021";"49"
"10/01/2021";"11/01/2021";"37"
"11/01/2021";"12/01/2021";"39"
"12/01/2021";"13/01/2021";"42"
"13/01/2021";"14/01/2021";"31"
"14/01/2021";"15/01/2021";"37"
"15/01/2021";"16/01/2021";"38"
"16/01/2021";"17/01/2021";"49"
"17/01/2021";"18/01/2021";"75"
"18/01/2021";"19/01/2021";"138"
"19/01/2021";"20/01/2021";"104"
"20/01/2021";"21/01/2021";"48"
"21/01/2021";"22/01/2021";"37"
"22/01/2021";"23/01/2021";"38"
"23/01/2021";"24/01/2021";"38"
"24/01/2021";"25/01/2021";"34"
"25/01/2021";"26/01/2021";"31"
"26/01/2021";"27/01/2021";"27"
"27/01/2021";"28/01/2021";"25"
"28/01/2021";"29/01/2021";"34"
"29/01/2021";"30/01/2021";"23"
"30/01/2021";"31/01/2021";"37"
"31/01/2021";"01/02/2021";"35"
"01/02/2021";"02/02/2021";"69"
"02/02/2021";"03/02/2021";"47"
"03/02/2021";"04/02/2021";"52"
"04/02/2021";"05/02/2021";"26"
"05/02/2021";"06/02/2021";"54"
"06/02/2021";"07/02/2021";"59"
"07/02/2021";"08/02/2021";"26"
"08/02/2021";"09/02/2021";"20"
"09/02/2021";"10/02/2021";"38"
"10/02/2021";"11/02/2021";"66"
"11/02/2021";"12/02/2021";"33"
"12/02/2021";"13/02/2021";"25"
"13/02/2021";"14/02/2021";"28"
"14/02/2021";"15/02/2021";"20"
"15/02/2021";"16/02/2021";"30"
"16/02/2021";"17/02/2021";"35"
"17/02/2021";"18/02/2021";"61"
"18/02/2021";"19/02/2021";"46"
"19/02/2021";"20/02/2021";"47"
"20/02/2021";"21/02/2021";"37"
"21/02/2021";"22/02/2021";"40"
"22/02/2021";"23/02/2021";"67"
"23/02/2021";"24/02/2021";"104"
"24/02/2021";"25/02/2021";"45"
"25/02/2021";"26/02/2021";"51"
"26/02/2021";"27/02/2021";"30"
"27/02/2021";"28/02/2021";"12"
"28/02/2021";"01/03/2021";"29"
"01/03/2021";"02/03/2021";"25"
"02/03/2021";"03/03/2021";"51"
"03/03/2021";"04/03/2021";"57"
"04/03/2021";"05/03/2021";"41"
"05/03/2021";"06/03/2021";"19"
"06/03/2021";"07/03/2021";"20"
"07/03/2021";"08/03/2021";"14"
"08/03/2021";"09/03/2021";"19"
"09/03/2021";"10/03/2021";"49"
"10/03/2021";"11/03/2021";"47"
"11/03/2021";"12/03/2021";"36"
"12/03/2021";"13/03/2021";"21"
"13/03/2021";"14/03/2021";"14"
"14/03/2021";"15/03/2021";"8"
"15/03/2021";"16/03/2021";"35"
"16/03/2021";"17/03/2021";"57"
