From;To;ID 86697 - PM2.5
"04:30 01/12";"05:30 01/12";"16"
"05:30 01/12";"06:30 01/12";"16"
"06:30 01/12";"07:30 01/12";"16"
"07:30 01/12";"08:30 01/12";"18"
"08:30 01/12";"09:30 01/12";"17"
"09:30 01/12";"10:30 01/12";"17"
"10:30 01/12";"11:30 01/12";"22"
"11:30 01/12";"12:30 01/12";"22"
"12:30 01/12";"13:30 01/12";"22"
"13:30 01/12";"14:30 01/12";"24"
"14:30 01/12";"15:30 01/12";"25"
"15:30 01/12";"16:30 01/12";"22"
"16:30 01/12";"17:30 01/12";"23"
"17:30 01/12";"18:30 01/12";"21"
"18:30 01/12";"19:30 01/12";"20"
"19:30 01/12";"20:30 01/12";"19"
"20:30 01/12";"21:30 01/12";"22"
"21:30 01/12";"22:30 01/12";"22"
"22:30 01/12";"23:30 01/12";"22"
"23:30 01/12";"00:30 02/12";"23"
"00:30 02/12";"01:30 02/12";"24"
"01:30 02/12";"02:30 02/12";"26"
"02:30 02/12";"03:30 02/12";"24"
"03:30 02/12";"04:30 02/12";"18"
"04:30 02/12";"05:30 02/12";"16"
"05:30 02/12";"06:30 02/12";"14"
"06:30 02/12";"07:30 02/12";"11"
"07:30 02/12";"08:30 02/12";"8"
"08:30 02/12";"09:30 02/12";"7"
"09:30 02/12";"10:30 02/12";"5"
"10:30 02/12";"11:30 02/12";"2"
"11:30 02/12";"12:30 02/12";"1"
"12:30 02/12";"13:30 02/12";"2"
"13:30 02/12";"14:30 02/12";"2"
"14:30 02/12";"15:30 02/12";"2"
"15:30 02/12";"16:30 02/12";"2"
"16:30 02/12";"17:30 02/12";"3"
"17:30 02/12";"18:30 02/12";"5"
"18:30 02/12";"19:30 02/12";"4"
"19:30 02/12";"20:30 02/12";"5"
"20:30 02/12";"21:30 02/12";"7"
"21:30 02/12";"22:30 02/12";"6"
"22:30 02/12";"23:30 02/12";"7"
"23:30 02/12";"00:30 03/12";"9"
"00:30 03/12";"01:30 03/12";"10"
"01:30 03/12";"02:30 03/12";"9"
"02:30 03/12";"03:30 03/12";"9"
"03:30 03/12";"04:30 03/12";"10"
"04:30 03/12";"05:30 03/12";"9"
"05:30 03/12";"06:30 03/12";"8"
"06:30 03/12";"07:30 03/12";"9"
"07:30 03/12";"08:30 03/12";"14"
"08:30 03/12";"09:30 03/12";"13"
"09:30 03/12";"10:30 03/12";"11"
"10:30 03/12";"11:30 03/12";"13"
"11:30 03/12";"12:30 03/12";"17"
"12:30 03/12";"13:30 03/12";"11"
"13:30 03/12";"14:30 03/12";"9"
"14:30 03/12";"15:30 03/12";"9"
"15:30 03/12";"16:30 03/12";"8"
"16:30 03/12";"17:30 03/12";"11"
"17:30 03/12";"18:30 03/12";"15"
"18:30 03/12";"19:30 03/12";"19"
"19:30 03/12";"20:30 03/12";"16"
"20:30 03/12";"21:30 03/12";"18"
"21:30 03/12";"22:30 03/12";"17"
"22:30 03/12";"23:30 03/12";"15"
"23:30 03/12";"00:30 04/12";"15"
"00:30 04/12";"01:30 04/12";"13"
"01:30 04/12";"02:30 04/12";"14"
"02:30 04/12";"03:30 04/12";"19"
"03:30 04/12";"04:30 04/12";"20"
"04:30 04/12";"05:30 04/12";"19"
"05:30 04/12";"06:30 04/12";"18"
"06:30 04/12";"07:30 04/12";"18"
"07:30 04/12";"08:30 04/12";"21"
"08:30 04/12";"09:30 04/12";"21"
"09:30 04/12";"10:30 04/12";"24"
"10:30 04/12";"11:30 04/12";"25"
"11:30 04/12";"12:30 04/12";"23"
"12:30 04/12";"13:30 04/12";"20"
"13:30 04/12";"14:30 04/12";"19"
"14:30 04/12";"15:30 04/12";"23"
"15:30 04/12";"16:30 04/12";"18"
"16:30 04/12";"17:30 04/12";"18"
"17:30 04/12";"18:30 04/12";"19"
"18:30 04/12";"19:30 04/12";"21"
"19:30 04/12";"20:30 04/12";"21"
"20:30 04/12";"21:30 04/12";"25"
"21:30 04/12";"22:30 04/12";"28"
"22:30 04/12";"23:30 04/12";"28"
"23:30 04/12";"00:30 05/12";"32"
"00:30 05/12";"01:30 05/12";"38"
"01:30 05/12";"02:30 05/12";"63"
"02:30 05/12";"03:30 05/12";"80"
"03:30 05/12";"04:30 05/12";"67"
"04:30 05/12";"05:30 05/12";"50"
"05:30 05/12";"06:30 05/12";"40"
"06:30 05/12";"07:30 05/12";"43"
