PM2.5
"04:30 01/01;""05:30 01/01"";""106"""
"05:30 01/01;""06:30 01/01"";""75"""
"06:30 01/01;""07:30 01/01"";""50"""
"07:30 01/01;""08:30 01/01"";""36"""
"08:30 01/01;""09:30 01/01"";""36"""
"09:30 01/01;""10:30 01/01"";""37"""
"10:30 01/01;""11:30 01/01"";""36"""
"11:30 01/01;""12:30 01/01"";""34"""
"12:30 01/01;""13:30 01/01"";""36"""
"13:30 01/01;""14:30 01/01"";""36"""
"14:30 01/01;""15:30 01/01"";""38"""
"15:30 01/01;""16:30 01/01"";""38"""
"16:30 01/01;""17:30 01/01"";""37"""
"17:30 01/01;""18:30 01/01"";""34"""
"18:30 01/01;""19:30 01/01"";""28"""
"19:30 01/01;""20:30 01/01"";""27"""
"20:30 01/01;""21:30 01/01"";""28"""
"21:30 01/01;""22:30 01/01"";""26"""
"22:30 01/01;""23:30 01/01"";""29"""
"23:30 01/01;""00:30 02/01"";""32"""
"00:30 02/01;""01:30 02/01"";""34"""
"01:30 02/01;""02:30 02/01"";""33"""
"02:30 02/01;""03:30 02/01"";""32"""
"03:30 02/01;""04:30 02/01"";""32"""
"04:30 02/01;""05:30 02/01"";""33"""
"05:30 02/01;""06:30 02/01"";""34"""
"06:30 02/01;""07:30 02/01"";""36"""
"07:30 02/01;""08:30 02/01"";""37"""
"08:30 02/01;""09:30 02/01"";""37"""
"09:30 02/01;""10:30 02/01"";""38"""
"10:30 02/01;""11:30 02/01"";""38"""
"11:30 02/01;""12:30 02/01"";""38"""
"12:30 02/01;""13:30 02/01"";""38"""
"13:30 02/01;""14:30 02/01"";""37"""
"14:30 02/01;""15:30 02/01"";""38"""
"15:30 02/01;""16:30 02/01"";""39"""
"16:30 02/01;""17:30 02/01"";""40"""
"17:30 02/01;""18:30 02/01"";""42"""
"18:30 02/01;""19:30 02/01"";""43"""
"19:30 02/01;""20:30 02/01"";""45"""
"20:30 02/01;""21:30 02/01"";""52"""
"21:30 02/01;""22:30 02/01"";""62"""
"22:30 02/01;""23:30 02/01"";""69"""
"23:30 02/01;""00:30 03/01"";""73"""
"00:30 03/01;""01:30 03/01"";""91"""
"01:30 03/01;""02:30 03/01"";""87"""
"02:30 03/01;""03:30 03/01"";""78"""
"03:30 03/01;""04:30 03/01"";""62"""
"04:30 03/01;""05:30 03/01"";""58"""
"05:30 03/01;""06:30 03/01"";""59"""
"06:30 03/01;""07:30 03/01"";""53"""
"07:30 03/01;""08:30 03/01"";""48"""
"08:30 03/01;""09:30 03/01"";""46"""
"09:30 03/01;""10:30 03/01"";""44"""
"10:30 03/01;""11:30 03/01"";""42"""
"11:30 03/01;""12:30 03/01"";""41"""
"12:30 03/01;""13:30 03/01"";""40"""
"13:30 03/01;""14:30 03/01"";""40"""
"14:30 03/01;""15:30 03/01"";""40"""
"15:30 03/01;""16:30 03/01"";""40"""
"16:30 03/01;""17:30 03/01"";""39"""
"17:30 03/01;""18:30 03/01"";""40"""
"18:30 03/01;""19:30 03/01"";""41"""
"19:30 03/01;""20:30 03/01"";""43"""
"20:30 03/01;""21:30 03/01"";""43"""
"21:30 03/01;""22:30 03/01"";""43"""
"22:30 03/01;""23:30 03/01"";""44"""
"23:30 03/01;""00:30 04/01"";""42"""
"00:30 04/01;""01:30 04/01"";""38"""
"01:30 04/01;""02:30 04/01"";""35"""
"02:30 04/01;""03:30 04/01"";""31"""
"03:30 04/01;""04:30 04/01"";""29"""
"04:30 04/01;""05:30 04/01"";""29"""
"05:30 04/01;""06:30 04/01"";""27"""
"06:30 04/01;""07:30 04/01"";""24"""
"07:30 04/01;""08:30 04/01"";""24"""
"08:30 04/01;""09:30 04/01"";""25"""
"09:30 04/01;""10:30 04/01"";""25"""
