PM2.5
"04:30 01/03;""05:30 01/03"";""21"""
"05:30 01/03;""06:30 01/03"";""21"""
"06:30 01/03;""07:30 01/03"";""21"""
"07:30 01/03;""08:30 01/03"";""20"""
"08:30 01/03;""09:30 01/03"";""14"""
"09:30 01/03;""10:30 01/03"";""20"""
"10:30 01/03;""11:30 01/03"";""18"""
"11:30 01/03;""12:30 01/03"";""21"""
"12:30 01/03;""13:30 01/03"";""21"""
"13:30 01/03;""14:30 01/03"";""24"""
"14:30 01/03;""15:30 01/03"";""24"""
"15:30 01/03;""16:30 01/03"";""25"""
"16:30 01/03;""17:30 01/03"";""28"""
"17:30 01/03;""18:30 01/03"";""26"""
"18:30 01/03;""19:30 01/03"";""24"""
"19:30 01/03;""20:30 01/03"";""23"""
"20:30 01/03;""21:30 01/03"";""27"""
"21:30 01/03;""22:30 01/03"";""30"""
"22:30 01/03;""23:30 01/03"";""34"""
"23:30 01/03;""00:30 02/03"";""31"""
"00:30 02/03;""01:30 02/03"";""32"""
"01:30 02/03;""02:30 02/03"";""33"""
"02:30 02/03;""03:30 02/03"";""33"""
"03:30 02/03;""04:30 02/03"";""34"""
"04:30 02/03;""05:30 02/03"";""32"""
"05:30 02/03;""06:30 02/03"";""32"""
"06:30 02/03;""07:30 02/03"";""33"""
"07:30 02/03;""08:30 02/03"";""33"""
"08:30 02/03;""09:30 02/03"";""34"""
"09:30 02/03;""10:30 02/03"";""35"""
"10:30 02/03;""11:30 02/03"";""35"""
"11:30 02/03;""12:30 02/03"";""34"""
"12:30 02/03;""13:30 02/03"";""33"""
"13:30 02/03;""14:30 02/03"";""33"""
"14:30 02/03;""15:30 02/03"";""34"""
"15:30 02/03;""16:30 02/03"";""32"""
"16:30 02/03;""17:30 02/03"";""29"""
"17:30 02/03;""18:30 02/03"";""28"""
"18:30 02/03;""19:30 02/03"";""27"""
"19:30 02/03;""20:30 02/03"";""29"""
"20:30 02/03;""21:30 02/03"";""34"""
"21:30 02/03;""22:30 02/03"";""36"""
"22:30 02/03;""23:30 02/03"";""44"""
"23:30 02/03;""00:30 03/03"";""70"""
"00:30 03/03;""01:30 03/03"";""93"""
"01:30 03/03;""02:30 03/03"";""163"""
"02:30 03/03;""03:30 03/03"";""152"""
"03:30 03/03;""04:30 03/03"";""107"""
"04:30 03/03;""05:30 03/03"";""46"""
"05:30 03/03;""06:30 03/03"";""31"""
"06:30 03/03;""07:30 03/03"";""31"""
"07:30 03/03;""08:30 03/03"";""30"""
"08:30 03/03;""09:30 03/03"";""26"""
"09:30 03/03;""10:30 03/03"";""26"""
"10:30 03/03;""11:30 03/03"";""27"""
"11:30 03/03;""12:30 03/03"";""32"""
"12:30 03/03;""13:30 03/03"";""35"""
"13:30 03/03;""14:30 03/03"";""32"""
"14:30 03/03;""15:30 03/03"";""32"""
"15:30 03/03;""16:30 03/03"";""32"""
"16:30 03/03;""17:30 03/03"";""33"""
"17:30 03/03;""18:30 03/03"";""34"""
"18:30 03/03;""19:30 03/03"";""33"""
"19:30 03/03;""20:30 03/03"";""32"""
"20:30 03/03;""21:30 03/03"";""34"""
"21:30 03/03;""22:30 03/03"";""43"""
"22:30 03/03;""23:30 03/03"";""54"""
