PM10
"04:30 01/02;""05:30 01/02"";""86"""
"05:30 01/02;""06:30 01/02"";""88"""
"06:30 01/02;""07:30 01/02"";""97"""
"07:30 01/02;""08:30 01/02"";""110"""
"08:30 01/02;""09:30 01/02"";""106"""
"09:30 01/02;""10:30 01/02"";""123"""
"10:30 01/02;""11:30 01/02"";""151"""
"11:30 01/02;""12:30 01/02"";""142"""
"12:30 01/02;""13:30 01/02"";""112"""
"13:30 01/02;""14:30 01/02"";""103"""
"14:30 01/02;""15:30 01/02"";""94"""
"15:30 01/02;""16:30 01/02"";""85"""
"16:30 01/02;""17:30 01/02"";""75"""
"17:30 01/02;""18:30 01/02"";""69"""
"18:30 01/02;""19:30 01/02"";""81"""
"19:30 01/02;""20:30 01/02"";""79"""
"20:30 01/02;""21:30 01/02"";""83"""
"21:30 01/02;""22:30 01/02"";""109"""
"22:30 01/02;""23:30 01/02"";""124"""
"23:30 01/02;""00:30 02/02"";""154"""
"00:30 02/02;""01:30 02/02"";""133"""
"01:30 02/02;""02:30 02/02"";""125"""
"02:30 02/02;""03:30 02/02"";""150"""
"03:30 02/02;""04:30 02/02"";""145"""
"04:30 02/02;""05:30 02/02"";""113"""
"05:30 02/02;""06:30 02/02"";""91"""
"06:30 02/02;""07:30 02/02"";""78"""
"07:30 02/02;""08:30 02/02"";""66"""
"08:30 02/02;""09:30 02/02"";""68"""
"09:30 02/02;""10:30 02/02"";""77"""
"10:30 02/02;""11:30 02/02"";""81"""
"11:30 02/02;""12:30 02/02"";""79"""
"12:30 02/02;""13:30 02/02"";""80"""
"13:30 02/02;""14:30 02/02"";""71"""
"14:30 02/02;""15:30 02/02"";""64"""
"15:30 02/02;""16:30 02/02"";""68"""
"16:30 02/02;""17:30 02/02"";""70"""
"17:30 02/02;""18:30 02/02"";""71"""
"18:30 02/02;""19:30 02/02"";""73"""
"19:30 02/02;""20:30 02/02"";""74"""
"20:30 02/02;""21:30 02/02"";""75"""
"21:30 02/02;""22:30 02/02"";""78"""
"22:30 02/02;""23:30 02/02"";""76"""
"23:30 02/02;""00:30 03/02"";""77"""
"00:30 03/02;""01:30 03/02"";""78"""
"01:30 03/02;""02:30 03/02"";""80"""
"02:30 03/02;""03:30 03/02"";""73"""
"03:30 03/02;""04:30 03/02"";""75"""
"04:30 03/02;""05:30 03/02"";""78"""
"05:30 03/02;""06:30 03/02"";""83"""
"06:30 03/02;""07:30 03/02"";""77"""
"07:30 03/02;""08:30 03/02"";""77"""
"08:30 03/02;""09:30 03/02"";""77"""
"09:30 03/02;""10:30 03/02"";""80"""
"10:30 03/02;""11:30 03/02"";""80"""
"11:30 03/02;""12:30 03/02"";""80"""
"12:30 03/02;""13:30 03/02"";""79"""
"13:30 03/02;""14:30 03/02"";""79"""
"14:30 03/02;""15:30 03/02"";""75"""
"15:30 03/02;""16:30 03/02"";""66"""
"16:30 03/02;""17:30 03/02"";""67"""
"17:30 03/02;""18:30 03/02"";""79"""
"18:30 03/02;""19:30 03/02"";""79"""
"19:30 03/02;""20:30 03/02"";""82"""
"20:30 03/02;""21:30 03/02"";""88"""
"21:30 03/02;""22:30 03/02"";""73"""
"22:30 03/02;""23:30 03/02"";""75"""
"23:30 03/02;""00:30 04/02"";""98"""
"00:30 04/02;""01:30 04/02"";""105"""
"01:30 04/02;""02:30 04/02"";""108"""
"02:30 04/02;""03:30 04/02"";""80"""
"03:30 04/02;""04:30 04/02"";""73"""
"04:30 04/02;""05:30 04/02"";""64"""
"05:30 04/02;""06:30 04/02"";""55"""
"06:30 04/02;""07:30 04/02"";""47"""
"07:30 04/02;""08:30 04/02"";""40"""
"08:30 04/02;""09:30 04/02"";""33"""
"09:30 04/02;""10:30 04/02"";""32"""
"10:30 04/02;""11:30 04/02"";""16"""
"11:30 04/02;""12:30 04/02"";""29"""
"12:30 04/02;""13:30 04/02"";""18"""
"13:30 04/02;""14:30 04/02"";""15"""
"14:30 04/02;""15:30 04/02"";""14"""
"15:30 04/02;""16:30 04/02"";""10"""
"16:30 04/02;""17:30 04/02"";""13"""
"17:30 04/02;""18:30 04/02"";""18"""
"18:30 04/02;""19:30 04/02"";""19"""
"19:30 04/02;""20:30 04/02"";""18"""
"20:30 04/02;""21:30 04/02"";""23"""
"21:30 04/02;""22:30 04/02"";""18"""
"22:30 04/02;""23:30 04/02"";""28"""
"23:30 04/02;""00:30 05/02"";""33"""
