PM10
"03:30 01/04;""04:30 01/04"";""102"""
"04:30 01/04;""05:30 01/04"";""119"""
"05:30 01/04;""06:30 01/04"";""116"""
"06:30 01/04;""07:30 01/04"";""124"""
"07:30 01/04;""08:30 01/04"";""111"""
"08:30 01/04;""09:30 01/04"";""104"""
"09:30 01/04;""10:30 01/04"";""109"""
"10:30 01/04;""11:30 01/04"";""122"""
"11:30 01/04;""12:30 01/04"";""81"""
"12:30 01/04;""13:30 01/04"";""59"""
"13:30 01/04;""14:30 01/04"";""44"""
"14:30 01/04;""15:30 01/04"";""29"""
"15:30 01/04;""16:30 01/04"";""27"""
"16:30 01/04;""17:30 01/04"";""20"""
"17:30 01/04;""18:30 01/04"";""23"""
"18:30 01/04;""19:30 01/04"";""30"""
"19:30 01/04;""20:30 01/04"";""35"""
"20:30 01/04;""21:30 01/04"";""36"""
"21:30 01/04;""22:30 01/04"";""14"""
"22:30 01/04;""23:30 01/04"";""27"""
"23:30 01/04;""00:30 02/04"";""36"""
"00:30 02/04;""01:30 02/04"";""31"""
"01:30 02/04;""02:30 02/04"";""10"""
"02:30 02/04;""03:30 02/04"";""5"""
"03:30 02/04;""04:30 02/04"";""6"""
"04:30 02/04;""05:30 02/04"";""3"""
"05:30 02/04;""06:30 02/04"";""3"""
"06:30 02/04;""07:30 02/04"";""3"""
"07:30 02/04;""08:30 02/04"";""5"""
"08:30 02/04;""09:30 02/04"";""9"""
"09:30 02/04;""10:30 02/04"";""20"""
"10:30 02/04;""11:30 02/04"";""21"""
"11:30 02/04;""12:30 02/04"";""14"""
"12:30 02/04;""13:30 02/04"";""15"""
"13:30 02/04;""14:30 02/04"";""11"""
"14:30 02/04;""15:30 02/04"";""5"""
"15:30 02/04;""16:30 02/04"";""5"""
"16:30 02/04;""17:30 02/04"";""7"""
"17:30 02/04;""18:30 02/04"";""8"""
"18:30 02/04;""19:30 02/04"";""7"""
"19:30 02/04;""20:30 02/04"";""7"""
"20:30 02/04;""21:30 02/04"";""8"""
"21:30 02/04;""22:30 02/04"";""10"""
"22:30 02/04;""23:30 02/04"";""28"""
"23:30 02/04;""00:30 03/04"";""32"""
"00:30 03/04;""01:30 03/04"";""29"""
"01:30 03/04;""02:30 03/04"";""31"""
"02:30 03/04;""03:30 03/04"";""34"""
"03:30 03/04;""04:30 03/04"";""25"""
"04:30 03/04;""05:30 03/04"";""15"""
"05:30 03/04;""06:30 03/04"";""19"""
"06:30 03/04;""07:30 03/04"";""18"""
"07:30 03/04;""08:30 03/04"";""9"""
"08:30 03/04;""09:30 03/04"";""6"""
"09:30 03/04;""10:30 03/04"";""7"""
"10:30 03/04;""11:30 03/04"";""12"""
"11:30 03/04;""12:30 03/04"";""12"""
"12:30 03/04;""13:30 03/04"";""11"""
"13:30 03/04;""14:30 03/04"";""9"""
"14:30 03/04;""15:30 03/04"";""5"""
"15:30 03/04;""16:30 03/04"";""3"""
"16:30 03/04;""17:30 03/04"";""2"""
"17:30 03/04;""18:30 03/04"";""1"""
"18:30 03/04;""19:30 03/04"";""1"""
"19:30 03/04;""20:30 03/04"";""1"""
"20:30 03/04;""21:30 03/04"";""3"""
"21:30 03/04;""22:30 03/04"";""8"""
"22:30 03/04;""23:30 03/04"";""5"""
"23:30 03/04;""00:30 04/04"";""10"""
"00:30 04/04;""01:30 04/04"";""13"""
"01:30 04/04;""02:30 04/04"";""14"""
"02:30 04/04;""03:30 04/04"";""36"""
"03:30 04/04;""04:30 04/04"";""27"""
