From;To;ID 2873 - PM2.5
"01/01/2020";"02/01/2020";"20"
"02/01/2020";"03/01/2020";"33"
"03/01/2020";"04/01/2020";"43"
"04/01/2020";"05/01/2020";"11"
"05/01/2020";"06/01/2020";"13"
"06/01/2020";"07/01/2020";"37"
"07/01/2020";"08/01/2020";"39"
"08/01/2020";"09/01/2020";"38"
"09/01/2020";"10/01/2020";"29"
"10/01/2020";"11/01/2020";"31"
"11/01/2020";"12/01/2020";"14"
"12/01/2020";"13/01/2020";"25"
"13/01/2020";"14/01/2020";"27"
"14/01/2020";"15/01/2020";"39"
"15/01/2020";"16/01/2020";"33"
"16/01/2020";"17/01/2020";"39"
"17/01/2020";"18/01/2020";"57"
"18/01/2020";"19/01/2020";"44"
"19/01/2020";"20/01/2020";"54"
"20/01/2020";"21/01/2020";"29"
"21/01/2020";"22/01/2020";"23"
"22/01/2020";"23/01/2020";"18"
"23/01/2020";"24/01/2020";"22"
"24/01/2020";"25/01/2020";"37"
"25/01/2020";"26/01/2020";"37"
"26/01/2020";"27/01/2020";"40"
"27/01/2020";"28/01/2020";"57"
"28/01/2020";"29/01/2020";"46"
"29/01/2020";"30/01/2020";"14"
"30/01/2020";"31/01/2020";"16"
"31/01/2020";"01/02/2020";"11"
"01/02/2020";"02/02/2020";"16"
"02/02/2020";"03/02/2020";"6"
"03/02/2020";"04/02/2020";"15"
"04/02/2020";"05/02/2020";"18"
"05/02/2020";"06/02/2020";"14"
"06/02/2020";"07/02/2020";"19"
"07/02/2020";"08/02/2020";"17"
"08/02/2020";"09/02/2020";"40"
"09/02/2020";"10/02/2020";"36"
"10/02/2020";"11/02/2020";"10"
"11/02/2020";"12/02/2020";"6"
"12/02/2020";"13/02/2020";"6"
"13/02/2020";"14/02/2020";"15"
"14/02/2020";"15/02/2020";"43"
"15/02/2020";"16/02/2020";"44"
"16/02/2020";"17/02/2020";"25"
"17/02/2020";"18/02/2020";"11"
"18/02/2020";"19/02/2020";"10"
"19/02/2020";"20/02/2020";"13"
"20/02/2020";"21/02/2020";"22"
"21/02/2020";"22/02/2020";"20"
"22/02/2020";"23/02/2020";"16"
"23/02/2020";"24/02/2020";"7"
"24/02/2020";"25/02/2020";"9"
"25/02/2020";"26/02/2020";"17"
"26/02/2020";"27/02/2020";"18"
"27/02/2020";"28/02/2020";"20"
"28/02/2020";"29/02/2020";"30"
"29/02/2020";"01/03/2020";"18"
"01/03/2020";"02/03/2020";"15"
"02/03/2020";"03/03/2020";"31"
"03/03/2020";"04/03/2020";"28"
"04/03/2020";"05/03/2020";"22"
"05/03/2020";"06/03/2020";"32"
"06/03/2020";"07/03/2020";"32"
"07/03/2020";"08/03/2020";"29"
"08/03/2020";"09/03/2020";"23"
"09/03/2020";"10/03/2020";"33"
"10/03/2020";"11/03/2020";"31"
"11/03/2020";"12/03/2020";"8"
"12/03/2020";"13/03/2020";"10"
"13/03/2020";"14/03/2020";"6"
"14/03/2020";"15/03/2020";"12"
"15/03/2020";"16/03/2020";"27"
"16/03/2020";"17/03/2020";"19"
"17/03/2020";"18/03/2020";"39"
"18/03/2020";"19/03/2020";"42"
"19/03/2020";"20/03/2020";"29"
"20/03/2020";"21/03/2020";"15"
"21/03/2020";"22/03/2020";"9"
"22/03/2020";"23/03/2020";"7"
"23/03/2020";"24/03/2020";"17"
"24/03/2020";"25/03/2020";"34"
"25/03/2020";"26/03/2020";"42"
"26/03/2020";"27/03/2020";"32"
"27/03/2020";"28/03/2020";"46"
"28/03/2020";"29/03/2020";"76"
"29/03/2020";"30/03/2020";"85"
"30/03/2020";"31/03/2020";"12"
"31/03/2020";"01/04/2020";"24"
"01/04/2020";"02/04/2020";"20"
"02/04/2020";"03/04/2020";"23"
"03/04/2020";"04/04/2020";"22"
"04/04/2020";"05/04/2020";"22"
"05/04/2020";"06/04/2020";""
"06/04/2020";"07/04/2020";"24"
"07/04/2020";"08/04/2020";"26"
"08/04/2020";"09/04/2020";"13"
"09/04/2020";"10/04/2020";"22"
"10/04/2020";"11/04/2020";"13"
"11/04/2020";"12/04/2020";"11"
"12/04/2020";"13/04/2020";"14"
"13/04/2020";"14/04/2020";"12"
"14/04/2020";"15/04/2020";"5"
"15/04/2020";"16/04/2020";"13"
"16/04/2020";"17/04/2020";"12"
"17/04/2020";"18/04/2020";"10"
"18/04/2020";"19/04/2020";"15"
"19/04/2020";"20/04/2020";"17"
"20/04/2020";"21/04/2020";"10"
"21/04/2020";"22/04/2020";"19"
"22/04/2020";"23/04/2020";"14"
"23/04/2020";"24/04/2020";"15"
"24/04/2020";"25/04/2020";"15"
"25/04/2020";"26/04/2020";"12"
"26/04/2020";"27/04/2020";"11"
"27/04/2020";"28/04/2020";"15"
"28/04/2020";"29/04/2020";"13"
"29/04/2020";"30/04/2020";"14"
"30/04/2020";"01/05/2020";"10"
"01/05/2020";"02/05/2020";"21"
"02/05/2020";"03/05/2020";"15"
"03/05/2020";"04/05/2020";"19"
"04/05/2020";"05/05/2020";"15"
"05/05/2020";"06/05/2020";"17"
"06/05/2020";"07/05/2020";"11"
"07/05/2020";"08/05/2020";"8"
"08/05/2020";"09/05/2020";"13"
"09/05/2020";"10/05/2020";"17"
"10/05/2020";"11/05/2020";"17"
"11/05/2020";"12/05/2020";"16"
"12/05/2020";"13/05/2020";"3"
"13/05/2020";"14/05/2020";"13"
"14/05/2020";"15/05/2020";"15"
"15/05/2020";"16/05/2020";"19"
"16/05/2020";"17/05/2020";"10"
"17/05/2020";"18/05/2020";"11"
"18/05/2020";"19/05/2020";"10"
"19/05/2020";"20/05/2020";"16"
"20/05/2020";"21/05/2020";"7"
"21/05/2020";"22/05/2020";"3"
"22/05/2020";"23/05/2020";"7"
"23/05/2020";"24/05/2020";"17"
"24/05/2020";"25/05/2020";"9"
"25/05/2020";"26/05/2020";"9"
"26/05/2020";"27/05/2020";"9"
"27/05/2020";"28/05/2020";"10"
"28/05/2020";"29/05/2020";"10"
"29/05/2020";"30/05/2020";"2"
"30/05/2020";"31/05/2020";"2"
"31/05/2020";"01/06/2020";"4"
"01/06/2020";"02/06/2020";"3"
"02/06/2020";"03/06/2020";"4"
"03/06/2020";"04/06/2020";"7"
"04/06/2020";"05/06/2020";"12"
"05/06/2020";"06/06/2020";"11"
"06/06/2020";"07/06/2020";"6"
"07/06/2020";"08/06/2020";"9"
"08/06/2020";"09/06/2020";"16"
"09/06/2020";"10/06/2020";"10"
"10/06/2020";"11/06/2020";"16"
"11/06/2020";"12/06/2020";"18"
"12/06/2020";"13/06/2020";"10"
"13/06/2020";"14/06/2020";"16"
"14/06/2020";"15/06/2020";"6"
"15/06/2020";"16/06/2020";"8"
"16/06/2020";"17/06/2020";"12"
"17/06/2020";"18/06/2020";"14"
"18/06/2020";"19/06/2020";"18"
"19/06/2020";"20/06/2020";"13"
"20/06/2020";"21/06/2020";"17"
"21/06/2020";"22/06/2020";"16"
"22/06/2020";"23/06/2020";"17"
"23/06/2020";"24/06/2020";"5"
"24/06/2020";"25/06/2020";"15"
"25/06/2020";"26/06/2020";"15"
"26/06/2020";"27/06/2020";"13"
"27/06/2020";"28/06/2020";"12"
"28/06/2020";"29/06/2020";"22"
"29/06/2020";"30/06/2020";"15"
"30/06/2020";"01/07/2020";"9"
"01/07/2020";"02/07/2020";"7"
"02/07/2020";"03/07/2020";"7"
"03/07/2020";"04/07/2020";"14"
"04/07/2020";"05/07/2020";"11"
"05/07/2020";"06/07/2020";"9"
"06/07/2020";"07/07/2020";"7"
"07/07/2020";"08/07/2020";"3"
"08/07/2020";"09/07/2020";"5"
"09/07/2020";"10/07/2020";"9"
"10/07/2020";"11/07/2020";"11"
"11/07/2020";"12/07/2020";"6"
"12/07/2020";"13/07/2020";"5"
"13/07/2020";"14/07/2020";"4"
"14/07/2020";"15/07/2020";"8"
"15/07/2020";"16/07/2020";"13"
