From;To;ID 86548 - PM2.5
"04:30 01/12";"05:30 01/12";"15"
"05:30 01/12";"06:30 01/12";"15"
"06:30 01/12";"07:30 01/12";"16"
"07:30 01/12";"08:30 01/12";"16"
"08:30 01/12";"09:30 01/12";"16"
"09:30 01/12";"10:30 01/12";"15"
"10:30 01/12";"11:30 01/12";"19"
"11:30 01/12";"12:30 01/12";"19"
"12:30 01/12";"13:30 01/12";"22"
"13:30 01/12";"14:30 01/12";"24"
"14:30 01/12";"15:30 01/12";"24"
"15:30 01/12";"16:30 01/12";"22"
"16:30 01/12";"17:30 01/12";"23"
"17:30 01/12";"18:30 01/12";"22"
"18:30 01/12";"19:30 01/12";"21"
"19:30 01/12";"20:30 01/12";"19"
"20:30 01/12";"21:30 01/12";"21"
"21:30 01/12";"22:30 01/12";"22"
"22:30 01/12";"23:30 01/12";"22"
"23:30 01/12";"00:30 02/12";"24"
"00:30 02/12";"01:30 02/12";"25"
"01:30 02/12";"02:30 02/12";"24"
"02:30 02/12";"03:30 02/12";"23"
"03:30 02/12";"04:30 02/12";"18"
"04:30 02/12";"05:30 02/12";"15"
"05:30 02/12";"06:30 02/12";"13"
"06:30 02/12";"07:30 02/12";"10"
"07:30 02/12";"08:30 02/12";"8"
"08:30 02/12";"09:30 02/12";"7"
"09:30 02/12";"10:30 02/12";"5"
"10:30 02/12";"11:30 02/12";"1"
"11:30 02/12";"12:30 02/12";"1"
"12:30 02/12";"13:30 02/12";"2"
"13:30 02/12";"14:30 02/12";"2"
"14:30 02/12";"15:30 02/12";"1"
"15:30 02/12";"16:30 02/12";"2"
"16:30 02/12";"17:30 02/12";"2"
"17:30 02/12";"18:30 02/12";"2"
"18:30 02/12";"19:30 02/12";"3"
"19:30 02/12";"20:30 02/12";"3"
"20:30 02/12";"21:30 02/12";"4"
"21:30 02/12";"22:30 02/12";"3"
"22:30 02/12";"23:30 02/12";"3"
"23:30 02/12";"00:30 03/12";"5"
"00:30 03/12";"01:30 03/12";"5"
"01:30 03/12";"02:30 03/12";"6"
"02:30 03/12";"03:30 03/12";"7"
"03:30 03/12";"04:30 03/12";"7"
"04:30 03/12";"05:30 03/12";"8"
"05:30 03/12";"06:30 03/12";"7"
"06:30 03/12";"07:30 03/12";"7"
"07:30 03/12";"08:30 03/12";"9"
"08:30 03/12";"09:30 03/12";"10"
"09:30 03/12";"10:30 03/12";"8"
"10:30 03/12";"11:30 03/12";"6"
"11:30 03/12";"12:30 03/12";"13"
"12:30 03/12";"13:30 03/12";"8"
"13:30 03/12";"14:30 03/12";"8"
"14:30 03/12";"15:30 03/12";"9"
"15:30 03/12";"16:30 03/12";"8"
"16:30 03/12";"17:30 03/12";"8"
"17:30 03/12";"18:30 03/12";"11"
"18:30 03/12";"19:30 03/12";"12"
"19:30 03/12";"20:30 03/12";"11"
"20:30 03/12";"21:30 03/12";"12"
"21:30 03/12";"22:30 03/12";"12"
"22:30 03/12";"23:30 03/12";"11"
"23:30 03/12";"00:30 04/12";"10"
"00:30 04/12";"01:30 04/12";"9"
"01:30 04/12";"02:30 04/12";"14"
"02:30 04/12";"03:30 04/12";"19"
"03:30 04/12";"04:30 04/12";"20"
"04:30 04/12";"05:30 04/12";"18"
"05:30 04/12";"06:30 04/12";"16"
"06:30 04/12";"07:30 04/12";"17"
"07:30 04/12";"08:30 04/12";"19"
"08:30 04/12";"09:30 04/12";"21"
"09:30 04/12";"10:30 04/12";"24"
"10:30 04/12";"11:30 04/12";"24"
"11:30 04/12";"12:30 04/12";"22"
"12:30 04/12";"13:30 04/12";"20"
"13:30 04/12";"14:30 04/12";"19"
"14:30 04/12";"15:30 04/12";"21"
"15:30 04/12";"16:30 04/12";"17"
"16:30 04/12";"17:30 04/12";"17"
"17:30 04/12";"18:30 04/12";"18"
"18:30 04/12";"19:30 04/12";"19"
"19:30 04/12";"20:30 04/12";"20"
"20:30 04/12";"21:30 04/12";"24"
"21:30 04/12";"22:30 04/12";"26"
"22:30 04/12";"23:30 04/12";"27"
"23:30 04/12";"00:30 05/12";"30"
"00:30 05/12";"01:30 05/12";"31"
"01:30 05/12";"02:30 05/12";"32"
"02:30 05/12";"03:30 05/12";"36"
"03:30 05/12";"04:30 05/12";"37"
"04:30 05/12";"05:30 05/12";"37"
"05:30 05/12";"06:30 05/12";"37"
"06:30 05/12";"07:30 05/12";"38"
"07:30 05/12";"08:30 05/12";"37"
"08:30 05/12";"09:30 05/12";"35"
"09:30 05/12";"10:30 05/12";"34"
"10:30 05/12";"11:30 05/12";"35"
"11:30 05/12";"12:30 05/12";"36"
"12:30 05/12";"13:30 05/12";"36"
"13:30 05/12";"14:30 05/12";"37"
"14:30 05/12";"15:30 05/12";"39"
"15:30 05/12";"16:30 05/12";"40"
"16:30 05/12";"17:30 05/12";"37"
"17:30 05/12";"18:30 05/12";"35"
"18:30 05/12";"19:30 05/12";"34"
"19:30 05/12";"20:30 05/12";"36"
"20:30 05/12";"21:30 05/12";"37"
"21:30 05/12";"22:30 05/12";"35"
"22:30 05/12";"23:30 05/12";"34"
"23:30 05/12";"00:30 06/12";"34"
"00:30 06/12";"01:30 06/12";"35"
"01:30 06/12";"02:30 06/12";"34"
"02:30 06/12";"03:30 06/12";"32"
"03:30 06/12";"04:30 06/12";"28"
"04:30 06/12";"05:30 06/12";"25"
"05:30 06/12";"06:30 06/12";"24"
"06:30 06/12";"07:30 06/12";"24"
"07:30 06/12";"08:30 06/12";"23"
"08:30 06/12";"09:30 06/12";"20"
"09:30 06/12";"10:30 06/12";"20"
"10:30 06/12";"11:30 06/12";"22"
"11:30 06/12";"12:30 06/12";"24"
"12:30 06/12";"13:30 06/12";"26"
"13:30 06/12";"14:30 06/12";"29"
"14:30 06/12";"15:30 06/12";"31"
"15:30 06/12";"16:30 06/12";"32"
"16:30 06/12";"17:30 06/12";"33"
"17:30 06/12";"18:30 06/12";"32"
"18:30 06/12";"19:30 06/12";"33"
"19:30 06/12";"20:30 06/12";"33"
"20:30 06/12";"21:30 06/12";"31"
"21:30 06/12";"22:30 06/12";"31"
"22:30 06/12";"23:30 06/12";"30"
"23:30 06/12";"00:30 07/12";"28"
"00:30 07/12";"01:30 07/12";"28"
"01:30 07/12";"02:30 07/12";"27"
"02:30 07/12";"03:30 07/12";"29"
"03:30 07/12";"04:30 07/12";"28"
"04:30 07/12";"05:30 07/12";"29"
"05:30 07/12";"06:30 07/12";"28"
"06:30 07/12";"07:30 07/12";"28"
"07:30 07/12";"08:30 07/12";"27"
"08:30 07/12";"09:30 07/12";"27"
"09:30 07/12";"10:30 07/12";"24"
"10:30 07/12";"11:30 07/12";"24"
"11:30 07/12";"12:30 07/12";"25"
"12:30 07/12";"13:30 07/12";"26"
"13:30 07/12";"14:30 07/12";"26"
"14:30 07/12";"15:30 07/12";"25"
"15:30 07/12";"16:30 07/12";"24"
"16:30 07/12";"17:30 07/12";"24"
"17:30 07/12";"18:30 07/12";"27"
"18:30 07/12";"19:30 07/12";"25"
"19:30 07/12";"20:30 07/12";"27"
"20:30 07/12";"21:30 07/12";"26"
"21:30 07/12";"22:30 07/12";"21"
"22:30 07/12";"23:30 07/12";"25"
"23:30 07/12";"00:30 08/12";"32"
"00:30 08/12";"01:30 08/12";"32"
"01:30 08/12";"02:30 08/12";"28"
"02:30 08/12";"03:30 08/12";"26"
"03:30 08/12";"04:30 08/12";"28"
"04:30 08/12";"05:30 08/12";"27"
"05:30 08/12";"06:30 08/12";"26"
"06:30 08/12";"07:30 08/12";"26"
"07:30 08/12";"08:30 08/12";"28"
"08:30 08/12";"09:30 08/12";"28"
"09:30 08/12";"10:30 08/12";"25"
"10:30 08/12";"11:30 08/12";"23"
"11:30 08/12";"12:30 08/12";"25"
"12:30 08/12";"13:30 08/12";"27"
"13:30 08/12";"14:30 08/12";"25"
"14:30 08/12";"15:30 08/12";"27"
"15:30 08/12";"16:30 08/12";"27"
"16:30 08/12";"17:30 08/12";"27"
"17:30 08/12";"18:30 08/12";"28"
"18:30 08/12";"19:30 08/12";"27"
"19:30 08/12";"20:30 08/12";"27"
"20:30 08/12";"21:30 08/12";"29"
"21:30 08/12";"22:30 08/12";"32"
"22:30 08/12";"23:30 08/12";"33"
"23:30 08/12";"00:30 09/12";"28"
"00:30 09/12";"01:30 09/12";"27"
"01:30 09/12";"02:30 09/12";"27"
"02:30 09/12";"03:30 09/12";"25"
"03:30 09/12";"04:30 09/12";"23"
"04:30 09/12";"05:30 09/12";"21"
"05:30 09/12";"06:30 09/12";"20"
"06:30 09/12";"07:30 09/12";"21"
"07:30 09/12";"08:30 09/12";"23"
"08:30 09/12";"09:30 09/12";"24"
"09:30 09/12";"10:30 09/12";"23"
"10:30 09/12";"11:30 09/12";"21"
"11:30 09/12";"12:30 09/12";"22"
"12:30 09/12";"13:30 09/12";"22"
"13:30 09/12";"14:30 09/12";"23"
"14:30 09/12";"15:30 09/12";"24"
"15:30 09/12";"16:30 09/12";"25"
"16:30 09/12";"17:30 09/12";"24"
"17:30 09/12";"18:30 09/12";"25"
"18:30 09/12";"19:30 09/12";"25"
