From;To;ID 6436 - PM2.5
"03:30 01/10";"04:30 01/10";"6"
"04:30 01/10";"05:30 01/10";"4"
"05:30 01/10";"06:30 01/10";"3"
"06:30 01/10";"07:30 01/10";"3"
"07:30 01/10";"08:30 01/10";"3"
"08:30 01/10";"09:30 01/10";"6"
"09:30 01/10";"10:30 01/10";"5"
"10:30 01/10";"11:30 01/10";"5"
"11:30 01/10";"12:30 01/10";"5"
"12:30 01/10";"13:30 01/10";"5"
"13:30 01/10";"14:30 01/10";"6"
"14:30 01/10";"15:30 01/10";"5"
"15:30 01/10";"16:30 01/10";"5"
"16:30 01/10";"17:30 01/10";"5"
"17:30 01/10";"18:30 01/10";"7"
"18:30 01/10";"19:30 01/10";"7"
"19:30 01/10";"20:30 01/10";"9"
"20:30 01/10";"21:30 01/10";"11"
"21:30 01/10";"22:30 01/10";"10"
"22:30 01/10";"23:30 01/10";"10"
"23:30 01/10";"00:30 02/10";"7"
"00:30 02/10";"01:30 02/10";"6"
"01:30 02/10";"02:30 02/10";"6"
"02:30 02/10";"03:30 02/10";"6"
"03:30 02/10";"04:30 02/10";"6"
"04:30 02/10";"05:30 02/10";"7"
"05:30 02/10";"06:30 02/10";"6"
"06:30 02/10";"07:30 02/10";"6"
"07:30 02/10";"08:30 02/10";"7"
"08:30 02/10";"09:30 02/10";"7"
"09:30 02/10";"10:30 02/10";"9"
"10:30 02/10";"11:30 02/10";"10"
"11:30 02/10";"12:30 02/10";"11"
"12:30 02/10";"13:30 02/10";"12"
"13:30 02/10";"14:30 02/10";"13"
"14:30 02/10";"15:30 02/10";"14"
"15:30 02/10";"16:30 02/10";"15"
"16:30 02/10";"17:30 02/10";"16"
"17:30 02/10";"18:30 02/10";"15"
"18:30 02/10";"19:30 02/10";"14"
"19:30 02/10";"20:30 02/10";"10"
"20:30 02/10";"21:30 02/10";"7"
"21:30 02/10";"22:30 02/10";"8"
"22:30 02/10";"23:30 02/10";"12"
"23:30 02/10";"00:30 03/10";"9"
"00:30 03/10";"01:30 03/10";"5"
"01:30 03/10";"02:30 03/10";"5"
"02:30 03/10";"03:30 03/10";"8"
"03:30 03/10";"04:30 03/10";"11"
"04:30 03/10";"05:30 03/10";"10"
"05:30 03/10";"06:30 03/10";"11"
"06:30 03/10";"07:30 03/10";"12"
"07:30 03/10";"08:30 03/10";"10"
"08:30 03/10";"09:30 03/10";"9"
"09:30 03/10";"10:30 03/10";"10"
"10:30 03/10";"11:30 03/10";"11"
"11:30 03/10";"12:30 03/10";"17"
"12:30 03/10";"13:30 03/10";"18"
"13:30 03/10";"14:30 03/10";"16"
"14:30 03/10";"15:30 03/10";"11"
"15:30 03/10";"16:30 03/10";"9"
"16:30 03/10";"17:30 03/10";"10"
"17:30 03/10";"18:30 03/10";"8"
"18:30 03/10";"19:30 03/10";"8"
"19:30 03/10";"20:30 03/10";"14"
"20:30 03/10";"21:30 03/10";"17"
"21:30 03/10";"22:30 03/10";"26"
"22:30 03/10";"23:30 03/10";"26"
"23:30 03/10";"00:30 04/10";"32"
"00:30 04/10";"01:30 04/10";"34"
"01:30 04/10";"02:30 04/10";"31"
"02:30 04/10";"03:30 04/10";"30"
"03:30 04/10";"04:30 04/10";"29"
"04:30 04/10";"05:30 04/10";"26"
"05:30 04/10";"06:30 04/10";"26"
"06:30 04/10";"07:30 04/10";"26"
"07:30 04/10";"08:30 04/10";"29"
"08:30 04/10";"09:30 04/10";"28"
"09:30 04/10";"10:30 04/10";"30"
"10:30 04/10";"11:30 04/10";"26"
"11:30 04/10";"12:30 04/10";"25"
"12:30 04/10";"13:30 04/10";"23"
"13:30 04/10";"14:30 04/10";"17"
"14:30 04/10";"15:30 04/10";"11"
"15:30 04/10";"16:30 04/10";"7"
"16:30 04/10";"17:30 04/10";"6"
"17:30 04/10";"18:30 04/10";"4"
