From;To;ID 6436 - PM2.5
"04:30 01/12";"05:30 01/12";"11"
"05:30 01/12";"06:30 01/12";"11"
"06:30 01/12";"07:30 01/12";"12"
"07:30 01/12";"08:30 01/12";"13"
"08:30 01/12";"09:30 01/12";"12"
"09:30 01/12";"10:30 01/12";"12"
"10:30 01/12";"11:30 01/12";"15"
"11:30 01/12";"12:30 01/12";"18"
"12:30 01/12";"13:30 01/12";"18"
"13:30 01/12";"14:30 01/12";"19"
"14:30 01/12";"15:30 01/12";"20"
"15:30 01/12";"16:30 01/12";"17"
"16:30 01/12";"17:30 01/12";"19"
"17:30 01/12";"18:30 01/12";"20"
"18:30 01/12";"19:30 01/12";"18"
"19:30 01/12";"20:30 01/12";"17"
"20:30 01/12";"21:30 01/12";"22"
"21:30 01/12";"22:30 01/12";"21"
"22:30 01/12";"23:30 01/12";"20"
"23:30 01/12";"00:30 02/12";"25"
"00:30 02/12";"01:30 02/12";"24"
"01:30 02/12";"02:30 02/12";"23"
"02:30 02/12";"03:30 02/12";"22"
"03:30 02/12";"04:30 02/12";"16"
"04:30 02/12";"05:30 02/12";"13"
"05:30 02/12";"06:30 02/12";"11"
"06:30 02/12";"07:30 02/12";"8"
"07:30 02/12";"08:30 02/12";"6"
"08:30 02/12";"09:30 02/12";"5"
"09:30 02/12";"10:30 02/12";"4"
"10:30 02/12";"11:30 02/12";"2"
"11:30 02/12";"12:30 02/12";"1"
"12:30 02/12";"13:30 02/12";"2"
"13:30 02/12";"14:30 02/12";"2"
"14:30 02/12";"15:30 02/12";"1"
"15:30 02/12";"16:30 02/12";"2"
"16:30 02/12";"17:30 02/12";"3"
"17:30 02/12";"18:30 02/12";"3"
"18:30 02/12";"19:30 02/12";"3"
"19:30 02/12";"20:30 02/12";"4"
"20:30 02/12";"21:30 02/12";"5"
"21:30 02/12";"22:30 02/12";"5"
"22:30 02/12";"23:30 02/12";"6"
"23:30 02/12";"00:30 03/12";"6"
"00:30 03/12";"01:30 03/12";"10"
"01:30 03/12";"02:30 03/12";"11"
"02:30 03/12";"03:30 03/12";"10"
"03:30 03/12";"04:30 03/12";"9"
"04:30 03/12";"05:30 03/12";"12"
"05:30 03/12";"06:30 03/12";"7"
"06:30 03/12";"07:30 03/12";"6"
"07:30 03/12";"08:30 03/12";"8"
"08:30 03/12";"09:30 03/12";"8"
"09:30 03/12";"10:30 03/12";"7"
"10:30 03/12";"11:30 03/12";"5"
"11:30 03/12";"12:30 03/12";"12"
"12:30 03/12";"13:30 03/12";"11"
"13:30 03/12";"14:30 03/12";"6"
"14:30 03/12";"15:30 03/12";"6"
"15:30 03/12";"16:30 03/12";"6"
"16:30 03/12";"17:30 03/12";"8"
"17:30 03/12";"18:30 03/12";"11"
"18:30 03/12";"19:30 03/12";"13"
"19:30 03/12";"20:30 03/12";"12"
"20:30 03/12";"21:30 03/12";"14"
"21:30 03/12";"22:30 03/12";"14"
"22:30 03/12";"23:30 03/12";"13"
"23:30 03/12";"00:30 04/12";"13"
"00:30 04/12";"01:30 04/12";"12"
"01:30 04/12";"02:30 04/12";"10"
"02:30 04/12";"03:30 04/12";"15"
"03:30 04/12";"04:30 04/12";"16"
"04:30 04/12";"05:30 04/12";"16"
"05:30 04/12";"06:30 04/12";"14"
"06:30 04/12";"07:30 04/12";"14"
"07:30 04/12";"08:30 04/12";"15"
"08:30 04/12";"09:30 04/12";"16"
"09:30 04/12";"10:30 04/12";"19"
"10:30 04/12";"11:30 04/12";"21"
"11:30 04/12";"12:30 04/12";"20"
"12:30 04/12";"13:30 04/12";"20"
"13:30 04/12";"14:30 04/12";"18"
"14:30 04/12";"15:30 04/12";"24"
"15:30 04/12";"16:30 04/12";"16"
"16:30 04/12";"17:30 04/12";"15"
"17:30 04/12";"18:30 04/12";"15"
"18:30 04/12";"19:30 04/12";"18"
"19:30 04/12";"20:30 04/12";"20"
"20:30 04/12";"21:30 04/12";"21"
"21:30 04/12";"22:30 04/12";"24"
"22:30 04/12";"23:30 04/12";"27"
"23:30 04/12";"00:30 05/12";"36"
"00:30 05/12";"01:30 05/12";"35"
"01:30 05/12";"02:30 05/12";"36"
"02:30 05/12";"03:30 05/12";"42"
"03:30 05/12";"04:30 05/12";"43"
"04:30 05/12";"05:30 05/12";"36"
"05:30 05/12";"06:30 05/12";"32"
"06:30 05/12";"07:30 05/12";"33"
"07:30 05/12";"08:30 05/12";"34"
"08:30 05/12";"09:30 05/12";"32"
"09:30 05/12";"10:30 05/12";"32"
"10:30 05/12";"11:30 05/12";"32"
"11:30 05/12";"12:30 05/12";"31"
"12:30 05/12";"13:30 05/12";"33"
"13:30 05/12";"14:30 05/12";"34"
"14:30 05/12";"15:30 05/12";"34"
"15:30 05/12";"16:30 05/12";"32"
"16:30 05/12";"17:30 05/12";"31"
"17:30 05/12";"18:30 05/12";"31"
"18:30 05/12";"19:30 05/12";"32"
"19:30 05/12";"20:30 05/12";"29"
"20:30 05/12";"21:30 05/12";"31"
"21:30 05/12";"22:30 05/12";"29"
"22:30 05/12";"23:30 05/12";"28"
"23:30 05/12";"00:30 06/12";"28"
"00:30 06/12";"01:30 06/12";"29"
"01:30 06/12";"02:30 06/12";"28"
"02:30 06/12";"03:30 06/12";"26"
"03:30 06/12";"04:30 06/12";"21"
"04:30 06/12";"05:30 06/12";"20"
"05:30 06/12";"06:30 06/12";"22"
"06:30 06/12";"07:30 06/12";"21"
"07:30 06/12";"08:30 06/12";"20"
"08:30 06/12";"09:30 06/12";"17"
"09:30 06/12";"10:30 06/12";"16"
"10:30 06/12";"11:30 06/12";"19"
"11:30 06/12";"12:30 06/12";"20"
"12:30 06/12";"13:30 06/12";"21"
"13:30 06/12";"14:30 06/12";"23"
"14:30 06/12";"15:30 06/12";"24"
"15:30 06/12";"16:30 06/12";"27"
"16:30 06/12";"17:30 06/12";"28"
"17:30 06/12";"18:30 06/12";"27"
"18:30 06/12";"19:30 06/12";"28"
"19:30 06/12";"20:30 06/12";"27"
"20:30 06/12";"21:30 06/12";"24"
"21:30 06/12";"22:30 06/12";"24"
"22:30 06/12";"23:30 06/12";"22"
"23:30 06/12";"00:30 07/12";"20"
"00:30 07/12";"01:30 07/12";"21"
"01:30 07/12";"02:30 07/12";"21"
"02:30 07/12";"03:30 07/12";"22"
"03:30 07/12";"04:30 07/12";"22"
"04:30 07/12";"05:30 07/12";"23"
"05:30 07/12";"06:30 07/12";"22"
"06:30 07/12";"07:30 07/12";"22"
"07:30 07/12";"08:30 07/12";"22"
"08:30 07/12";"09:30 07/12";"21"
"09:30 07/12";"10:30 07/12";"20"
"10:30 07/12";"11:30 07/12";"22"
"11:30 07/12";"12:30 07/12";"21"
"12:30 07/12";"13:30 07/12";"20"
"13:30 07/12";"14:30 07/12";"21"
"14:30 07/12";"15:30 07/12";"22"
"15:30 07/12";"16:30 07/12";"23"
"16:30 07/12";"17:30 07/12";"22"
