From;To;ID 6436 - PM2.5
"04:30 01/11";"05:30 01/11";"44"
"05:30 01/11";"06:30 01/11";"39"
"06:30 01/11";"07:30 01/11";"35"
"07:30 01/11";"08:30 01/11";"31"
"08:30 01/11";"09:30 01/11";"30"
"09:30 01/11";"10:30 01/11";"30"
"10:30 01/11";"11:30 01/11";"30"
"11:30 01/11";"12:30 01/11";"30"
"12:30 01/11";"13:30 01/11";"28"
"13:30 01/11";"14:30 01/11";"25"
"14:30 01/11";"15:30 01/11";"23"
"15:30 01/11";"16:30 01/11";"22"
"16:30 01/11";"17:30 01/11";"20"
"17:30 01/11";"18:30 01/11";"21"
"18:30 01/11";"19:30 01/11";"20"
"19:30 01/11";"20:30 01/11";"21"
"20:30 01/11";"21:30 01/11";"25"
"21:30 01/11";"22:30 01/11";"35"
"22:30 01/11";"23:30 01/11";"37"
"23:30 01/11";"00:30 02/11";"31"
"00:30 02/11";"01:30 02/11";"30"
"01:30 02/11";"02:30 02/11";"28"
"02:30 02/11";"03:30 02/11";"28"
"03:30 02/11";"04:30 02/11";"28"
"04:30 02/11";"05:30 02/11";"28"
"05:30 02/11";"06:30 02/11";"29"
"06:30 02/11";"07:30 02/11";"29"
"07:30 02/11";"08:30 02/11";"30"
"08:30 02/11";"09:30 02/11";"32"
"09:30 02/11";"10:30 02/11";"31"
"10:30 02/11";"11:30 02/11";"32"
"11:30 02/11";"12:30 02/11";"33"
"12:30 02/11";"13:30 02/11";"34"
"13:30 02/11";"14:30 02/11";"32"
"14:30 02/11";"15:30 02/11";"30"
"15:30 02/11";"16:30 02/11";"29"
"16:30 02/11";"17:30 02/11";"26"
"17:30 02/11";"18:30 02/11";"26"
"18:30 02/11";"19:30 02/11";"28"
"19:30 02/11";"20:30 02/11";"30"
"20:30 02/11";"21:30 02/11";"35"
"21:30 02/11";"22:30 02/11";"40"
"22:30 02/11";"23:30 02/11";"41"
"23:30 02/11";"00:30 03/11";"39"
"00:30 03/11";"01:30 03/11";"39"
"01:30 03/11";"02:30 03/11";"40"
"02:30 03/11";"03:30 03/11";"42"
"03:30 03/11";"04:30 03/11";"41"
"04:30 03/11";"05:30 03/11";"40"
"05:30 03/11";"06:30 03/11";"36"
"06:30 03/11";"07:30 03/11";"34"
"07:30 03/11";"08:30 03/11";"29"
"08:30 03/11";"09:30 03/11";"25"
"09:30 03/11";"10:30 03/11";"22"
"10:30 03/11";"11:30 03/11";"21"
"11:30 03/11";"12:30 03/11";"23"
"12:30 03/11";"13:30 03/11";"24"
"13:30 03/11";"14:30 03/11";"20"
"14:30 03/11";"15:30 03/11";"19"
"15:30 03/11";"16:30 03/11";"20"
"16:30 03/11";"17:30 03/11";"23"
"17:30 03/11";"18:30 03/11";"21"
"18:30 03/11";"19:30 03/11";"18"
"19:30 03/11";"20:30 03/11";"20"
"20:30 03/11";"21:30 03/11";"30"
"21:30 03/11";"22:30 03/11";"33"
"22:30 03/11";"23:30 03/11";"44"
"23:30 03/11";"00:30 04/11";"52"
"00:30 04/11";"01:30 04/11";"39"
"01:30 04/11";"02:30 04/11";"27"
"02:30 04/11";"03:30 04/11";"23"
"03:30 04/11";"04:30 04/11";"20"
"04:30 04/11";"05:30 04/11";"18"
"05:30 04/11";"06:30 04/11";"16"
"06:30 04/11";"07:30 04/11";"16"
"07:30 04/11";"08:30 04/11";"16"
"08:30 04/11";"09:30 04/11";"15"
"09:30 04/11";"10:30 04/11";"16"
"10:30 04/11";"11:30 04/11";"15"
"11:30 04/11";"12:30 04/11";"15"
"12:30 04/11";"13:30 04/11";"16"
"13:30 04/11";"14:30 04/11";"12"
"14:30 04/11";"15:30 04/11";"11"
"15:30 04/11";"16:30 04/11";"10"
"16:30 04/11";"17:30 04/11";"11"
"17:30 04/11";"18:30 04/11";"13"
"18:30 04/11";"19:30 04/11";"17"
"19:30 04/11";"20:30 04/11";"18"
"20:30 04/11";"21:30 04/11";"15"
"21:30 04/11";"22:30 04/11";"21"
