From;To;ID 31103 - PM2.5
"03:30 01/10";"04:30 01/10";"71"
"04:30 01/10";"05:30 01/10";"68"
"05:30 01/10";"06:30 01/10";"47"
"06:30 01/10";"07:30 01/10";"51"
"07:30 01/10";"08:30 01/10";"49"
"08:30 01/10";"09:30 01/10";"59"
"09:30 01/10";"10:30 01/10";"69"
"10:30 01/10";"11:30 01/10";"30"
"11:30 01/10";"12:30 01/10";"29"
"12:30 01/10";"13:30 01/10";"24"
"13:30 01/10";"14:30 01/10";"25"
"14:30 01/10";"15:30 01/10";"26"
"15:30 01/10";"16:30 01/10";"25"
"16:30 01/10";"17:30 01/10";"20"
"17:30 01/10";"18:30 01/10";"14"
"18:30 01/10";"19:30 01/10";"11"
"19:30 01/10";"20:30 01/10";"10"
"20:30 01/10";"21:30 01/10";"13"
"21:30 01/10";"22:30 01/10";"24"
"22:30 01/10";"23:30 01/10";"32"
"23:30 01/10";"00:30 02/10";"33"
"00:30 02/10";"01:30 02/10";"33"
"01:30 02/10";"02:30 02/10";"35"
"02:30 02/10";"03:30 02/10";"33"
"03:30 02/10";"04:30 02/10";"32"
"04:30 02/10";"05:30 02/10";"32"
"05:30 02/10";"06:30 02/10";"30"
"06:30 02/10";"07:30 02/10";"28"
"07:30 02/10";"08:30 02/10";"27"
"08:30 02/10";"09:30 02/10";"28"
"09:30 02/10";"10:30 02/10";"29"
"10:30 02/10";"11:30 02/10";"26"
"11:30 02/10";"12:30 02/10";"27"
"12:30 02/10";"13:30 02/10";"25"
"13:30 02/10";"14:30 02/10";"25"
"14:30 02/10";"15:30 02/10";"23"
"15:30 02/10";"16:30 02/10";"20"
"16:30 02/10";"17:30 02/10";"19"
"17:30 02/10";"18:30 02/10";"18"
"18:30 02/10";"19:30 02/10";"18"
"19:30 02/10";"20:30 02/10";"16"
"20:30 02/10";"21:30 02/10";"17"
"21:30 02/10";"22:30 02/10";"21"
"22:30 02/10";"23:30 02/10";"23"
"23:30 02/10";"00:30 03/10";"27"
"00:30 03/10";"01:30 03/10";"28"
"01:30 03/10";"02:30 03/10";"27"
"02:30 03/10";"03:30 03/10";"27"
"03:30 03/10";"04:30 03/10";"27"
"04:30 03/10";"05:30 03/10";"28"
"05:30 03/10";"06:30 03/10";"28"
"06:30 03/10";"07:30 03/10";"29"
"07:30 03/10";"08:30 03/10";"28"
"08:30 03/10";"09:30 03/10";"27"
"09:30 03/10";"10:30 03/10";"27"
"10:30 03/10";"11:30 03/10";"25"
"11:30 03/10";"12:30 03/10";"23"
"12:30 03/10";"13:30 03/10";"20"
"13:30 03/10";"14:30 03/10";"18"
"14:30 03/10";"15:30 03/10";"19"
"15:30 03/10";"16:30 03/10";"19"
"16:30 03/10";"17:30 03/10";"19"
"17:30 03/10";"18:30 03/10";"17"
"18:30 03/10";"19:30 03/10";"17"
"19:30 03/10";"20:30 03/10";"17"
"20:30 03/10";"21:30 03/10";"17"
"21:30 03/10";"22:30 03/10";"20"
"22:30 03/10";"23:30 03/10";"28"
"23:30 03/10";"00:30 04/10";"28"
"00:30 04/10";"01:30 04/10";"20"
"01:30 04/10";"02:30 04/10";"20"
"02:30 04/10";"03:30 04/10";"21"
"03:30 04/10";"04:30 04/10";"21"
"04:30 04/10";"05:30 04/10";"21"
"05:30 04/10";"06:30 04/10";"21"
"06:30 04/10";"07:30 04/10";"21"
"07:30 04/10";"08:30 04/10";"20"
"08:30 04/10";"09:30 04/10";"20"
"09:30 04/10";"10:30 04/10";"19"
"10:30 04/10";"11:30 04/10";"20"
"11:30 04/10";"12:30 04/10";"18"
"12:30 04/10";"13:30 04/10";"15"
"13:30 04/10";"14:30 04/10";"14"
"14:30 04/10";"15:30 04/10";"13"
"15:30 04/10";"16:30 04/10";"14"
"16:30 04/10";"17:30 04/10";"14"
"17:30 04/10";"18:30 04/10";"14"
"18:30 04/10";"19:30 04/10";"15"
"19:30 04/10";"20:30 04/10";"18"
"20:30 04/10";"21:30 04/10";"17"
"21:30 04/10";"22:30 04/10";"20"
"22:30 04/10";"23:30 04/10";"25"
"23:30 04/10";"00:30 05/10";"27"
"00:30 05/10";"01:30 05/10";"29"
"01:30 05/10";"02:30 05/10";"27"
"02:30 05/10";"03:30 05/10";"27"
"03:30 05/10";"04:30 05/10";"26"
"04:30 05/10";"05:30 05/10";"25"
"05:30 05/10";"06:30 05/10";"24"
"06:30 05/10";"07:30 05/10";"25"
"07:30 05/10";"08:30 05/10";"25"
"08:30 05/10";"09:30 05/10";"24"
"09:30 05/10";"10:30 05/10";"23"
"10:30 05/10";"11:30 05/10";"21"
"11:30 05/10";"12:30 05/10";"18"
"12:30 05/10";"13:30 05/10";"17"
"13:30 05/10";"14:30 05/10";"17"
"14:30 05/10";"15:30 05/10";"16"
"15:30 05/10";"16:30 05/10";"17"
"16:30 05/10";"17:30 05/10";"16"
"17:30 05/10";"18:30 05/10";"17"
"18:30 05/10";"19:30 05/10";"17"
"19:30 05/10";"20:30 05/10";"16"
"20:30 05/10";"21:30 05/10";"14"
"21:30 05/10";"22:30 05/10";"14"
"22:30 05/10";"23:30 05/10";"14"
"23:30 05/10";"00:30 06/10";"14"
"00:30 06/10";"01:30 06/10";"15"
"01:30 06/10";"02:30 06/10";"15"
"02:30 06/10";"03:30 06/10";"15"
"03:30 06/10";"04:30 06/10";"16"
"04:30 06/10";"05:30 06/10";"16"
"05:30 06/10";"06:30 06/10";"17"
"06:30 06/10";"07:30 06/10";"17"
"07:30 06/10";"08:30 06/10";"17"
"08:30 06/10";"09:30 06/10";"17"
"09:30 06/10";"10:30 06/10";"16"
"10:30 06/10";"11:30 06/10";"17"
"11:30 06/10";"12:30 06/10";"19"
"12:30 06/10";"13:30 06/10";"18"
"13:30 06/10";"14:30 06/10";"16"
"14:30 06/10";"15:30 06/10";"15"
"15:30 06/10";"16:30 06/10";"15"
"16:30 06/10";"17:30 06/10";"16"
"17:30 06/10";"18:30 06/10";"15"
"18:30 06/10";"19:30 06/10";"13"
"19:30 06/10";"20:30 06/10";"14"
"20:30 06/10";"21:30 06/10";"13"
"21:30 06/10";"22:30 06/10";"14"
"22:30 06/10";"23:30 06/10";"16"
"23:30 06/10";"00:30 07/10";"17"
"00:30 07/10";"01:30 07/10";"15"
"01:30 07/10";"02:30 07/10";"16"
"02:30 07/10";"03:30 07/10";"17"
"03:30 07/10";"04:30 07/10";"18"
"04:30 07/10";"05:30 07/10";"17"
"05:30 07/10";"06:30 07/10";"15"
"06:30 07/10";"07:30 07/10";"15"
"07:30 07/10";"08:30 07/10";"15"
"08:30 07/10";"09:30 07/10";"15"
"09:30 07/10";"10:30 07/10";"16"
"10:30 07/10";"11:30 07/10";"16"
"11:30 07/10";"12:30 07/10";"15"
"12:30 07/10";"13:30 07/10";"14"
"13:30 07/10";"14:30 07/10";"12"
"14:30 07/10";"15:30 07/10";"12"
"15:30 07/10";"16:30 07/10";"13"
"16:30 07/10";"17:30 07/10";"9"
"17:30 07/10";"18:30 07/10";"10"
"18:30 07/10";"19:30 07/10";"9"
"19:30 07/10";"20:30 07/10";"9"
"20:30 07/10";"21:30 07/10";"13"
"21:30 07/10";"22:30 07/10";"19"
"22:30 07/10";"23:30 07/10";"25"
"23:30 07/10";"00:30 08/10";"25"
"00:30 08/10";"01:30 08/10";"26"
"01:30 08/10";"02:30 08/10";"25"
"02:30 08/10";"03:30 08/10";"24"
"03:30 08/10";"04:30 08/10";"23"
"04:30 08/10";"05:30 08/10";"23"
"05:30 08/10";"06:30 08/10";"25"
"06:30 08/10";"07:30 08/10";"28"
"07:30 08/10";"08:30 08/10";"21"
"08:30 08/10";"09:30 08/10";"20"
"09:30 08/10";"10:30 08/10";"20"
"10:30 08/10";"11:30 08/10";"19"
"11:30 08/10";"12:30 08/10";"17"
"12:30 08/10";"13:30 08/10";"16"
"13:30 08/10";"14:30 08/10";"15"
"14:30 08/10";"15:30 08/10";"18"
