From;To;ID 31103 - PM2.5
"04:30 01/12";"05:30 01/12";"15"
"05:30 01/12";"06:30 01/12";"15"
"06:30 01/12";"07:30 01/12";"16"
"07:30 01/12";"08:30 01/12";"17"
"08:30 01/12";"09:30 01/12";"17"
"09:30 01/12";"10:30 01/12";"19"
"10:30 01/12";"11:30 01/12";"21"
"11:30 01/12";"12:30 01/12";"28"
"12:30 01/12";"13:30 01/12";"41"
"13:30 01/12";"14:30 01/12";"25"
"14:30 01/12";"15:30 01/12";"23"
"15:30 01/12";"16:30 01/12";"23"
"16:30 01/12";"17:30 01/12";"23"
"17:30 01/12";"18:30 01/12";"21"
"18:30 01/12";"19:30 01/12";"22"
"19:30 01/12";"20:30 01/12";"18"
"20:30 01/12";"21:30 01/12";"20"
"21:30 01/12";"22:30 01/12";"22"
"22:30 01/12";"23:30 01/12";"21"
"23:30 01/12";"00:30 02/12";"23"
"00:30 02/12";"01:30 02/12";"25"
"01:30 02/12";"02:30 02/12";"24"
"02:30 02/12";"03:30 02/12";"23"
"03:30 02/12";"04:30 02/12";"19"
"04:30 02/12";"05:30 02/12";"16"
"05:30 02/12";"06:30 02/12";"14"
"06:30 02/12";"07:30 02/12";"12"
"07:30 02/12";"08:30 02/12";"10"
"08:30 02/12";"09:30 02/12";"8"
"09:30 02/12";"10:30 02/12";"8"
"10:30 02/12";"11:30 02/12";"2"
"11:30 02/12";"12:30 02/12";"4"
"12:30 02/12";"13:30 02/12";"3"
"13:30 02/12";"14:30 02/12";"3"
"14:30 02/12";"15:30 02/12";"7"
"15:30 02/12";"16:30 02/12";"2"
"16:30 02/12";"17:30 02/12";"3"
"17:30 02/12";"18:30 02/12";"5"
"18:30 02/12";"19:30 02/12";"4"
"19:30 02/12";"20:30 02/12";"5"
"20:30 02/12";"21:30 02/12";"9"
"21:30 02/12";"22:30 02/12";"6"
"22:30 02/12";"23:30 02/12";"6"
"23:30 02/12";"00:30 03/12";"8"
"00:30 03/12";"01:30 03/12";"13"
"01:30 03/12";"02:30 03/12";"13"
"02:30 03/12";"03:30 03/12";"10"
"03:30 03/12";"04:30 03/12";"13"
"04:30 03/12";"05:30 03/12";"12"
"05:30 03/12";"06:30 03/12";"9"
"06:30 03/12";"07:30 03/12";"9"
"07:30 03/12";"08:30 03/12";"11"
"08:30 03/12";"09:30 03/12";"13"
"09:30 03/12";"10:30 03/12";"10"
"10:30 03/12";"11:30 03/12";"9"
"11:30 03/12";"12:30 03/12";"18"
"12:30 03/12";"13:30 03/12";"12"
"13:30 03/12";"14:30 03/12";"8"
"14:30 03/12";"15:30 03/12";"8"
"15:30 03/12";"16:30 03/12";"9"
"16:30 03/12";"17:30 03/12";"9"
"17:30 03/12";"18:30 03/12";"13"
"18:30 03/12";"19:30 03/12";"16"
"19:30 03/12";"20:30 03/12";"14"
"20:30 03/12";"21:30 03/12";"15"
"21:30 03/12";"22:30 03/12";"15"
"22:30 03/12";"23:30 03/12";"15"
"23:30 03/12";"00:30 04/12";"14"
"00:30 04/12";"01:30 04/12";"13"
"01:30 04/12";"02:30 04/12";"13"
"02:30 04/12";"03:30 04/12";"18"
"03:30 04/12";"04:30 04/12";"21"
"04:30 04/12";"05:30 04/12";"18"
"05:30 04/12";"06:30 04/12";"16"
"06:30 04/12";"07:30 04/12";"18"
"07:30 04/12";"08:30 04/12";"21"
"08:30 04/12";"09:30 04/12";"19"
"09:30 04/12";"10:30 04/12";"22"
"10:30 04/12";"11:30 04/12";"23"
"11:30 04/12";"12:30 04/12";"23"
"12:30 04/12";"13:30 04/12";"20"
"13:30 04/12";"14:30 04/12";"20"
"14:30 04/12";"15:30 04/12";"20"
"15:30 04/12";"16:30 04/12";"19"
"16:30 04/12";"17:30 04/12";"25"
"17:30 04/12";"18:30 04/12";"25"
"18:30 04/12";"19:30 04/12";"25"
"19:30 04/12";"20:30 04/12";"25"
"20:30 04/12";"21:30 04/12";"26"
"21:30 04/12";"22:30 04/12";"28"
"22:30 04/12";"23:30 04/12";"27"
"23:30 04/12";"00:30 05/12";"28"
"00:30 05/12";"01:30 05/12";"33"
"01:30 05/12";"02:30 05/12";"37"
"02:30 05/12";"03:30 05/12";"51"
"03:30 05/12";"04:30 05/12";"42"
"04:30 05/12";"05:30 05/12";"40"
"05:30 05/12";"06:30 05/12";"38"
"06:30 05/12";"07:30 05/12";"39"
"07:30 05/12";"08:30 05/12";"40"
"08:30 05/12";"09:30 05/12";"36"
"09:30 05/12";"10:30 05/12";"35"
"10:30 05/12";"11:30 05/12";"36"
"11:30 05/12";"12:30 05/12";"34"
"12:30 05/12";"13:30 05/12";"33"
"13:30 05/12";"14:30 05/12";"34"
"14:30 05/12";"15:30 05/12";"37"
"15:30 05/12";"16:30 05/12";"35"
"16:30 05/12";"17:30 05/12";"34"
"17:30 05/12";"18:30 05/12";"31"
"18:30 05/12";"19:30 05/12";"31"
"19:30 05/12";"20:30 05/12";"31"
"20:30 05/12";"21:30 05/12";"31"
"21:30 05/12";"22:30 05/12";"31"
"22:30 05/12";"23:30 05/12";"30"
"23:30 05/12";"00:30 06/12";"31"
"00:30 06/12";"01:30 06/12";"31"
"01:30 06/12";"02:30 06/12";"30"
"02:30 06/12";"03:30 06/12";"28"
"03:30 06/12";"04:30 06/12";"26"
"04:30 06/12";"05:30 06/12";"24"
"05:30 06/12";"06:30 06/12";"24"
"06:30 06/12";"07:30 06/12";"24"
"07:30 06/12";"08:30 06/12";"23"
"08:30 06/12";"09:30 06/12";"21"
"09:30 06/12";"10:30 06/12";"20"
"10:30 06/12";"11:30 06/12";"23"
"11:30 06/12";"12:30 06/12";"24"
"12:30 06/12";"13:30 06/12";"25"
"13:30 06/12";"14:30 06/12";"27"
"14:30 06/12";"15:30 06/12";"28"
"15:30 06/12";"16:30 06/12";"30"
"16:30 06/12";"17:30 06/12";"33"
"17:30 06/12";"18:30 06/12";"32"
"18:30 06/12";"19:30 06/12";"33"
"19:30 06/12";"20:30 06/12";"31"
"20:30 06/12";"21:30 06/12";"30"
"21:30 06/12";"22:30 06/12";"31"
"22:30 06/12";"23:30 06/12";"29"
"23:30 06/12";"00:30 07/12";"25"
"00:30 07/12";"01:30 07/12";"29"
"01:30 07/12";"02:30 07/12";"29"
"02:30 07/12";"03:30 07/12";"28"
"03:30 07/12";"04:30 07/12";"27"
"04:30 07/12";"05:30 07/12";"31"
"05:30 07/12";"06:30 07/12";"27"
"06:30 07/12";"07:30 07/12";"26"
"07:30 07/12";"08:30 07/12";"26"
"08:30 07/12";"09:30 07/12";"25"
"09:30 07/12";"10:30 07/12";"24"
"10:30 07/12";"11:30 07/12";"26"
"11:30 07/12";"12:30 07/12";"23"
"12:30 07/12";"13:30 07/12";"25"
"13:30 07/12";"14:30 07/12";"24"
"14:30 07/12";"15:30 07/12";"24"
"15:30 07/12";"16:30 07/12";"24"
"16:30 07/12";"17:30 07/12";"24"
"17:30 07/12";"18:30 07/12";"26"
"18:30 07/12";"19:30 07/12";"23"
"19:30 07/12";"20:30 07/12";"26"
"20:30 07/12";"21:30 07/12";"24"
"21:30 07/12";"22:30 07/12";"22"
"22:30 07/12";"23:30 07/12";"28"
"23:30 07/12";"00:30 08/12";"31"
"00:30 08/12";"01:30 08/12";"30"
"01:30 08/12";"02:30 08/12";"27"
"02:30 08/12";"03:30 08/12";"25"
"03:30 08/12";"04:30 08/12";"26"
"04:30 08/12";"05:30 08/12";"26"
"05:30 08/12";"06:30 08/12";"25"
"06:30 08/12";"07:30 08/12";"25"
"07:30 08/12";"08:30 08/12";"27"
"08:30 08/12";"09:30 08/12";"27"
"09:30 08/12";"10:30 08/12";"24"
"10:30 08/12";"11:30 08/12";"24"
"11:30 08/12";"12:30 08/12";"25"
"12:30 08/12";"13:30 08/12";"27"
"13:30 08/12";"14:30 08/12";"25"
"14:30 08/12";"15:30 08/12";"26"
"15:30 08/12";"16:30 08/12";"25"
"16:30 08/12";"17:30 08/12";"26"
"17:30 08/12";"18:30 08/12";"26"
"18:30 08/12";"19:30 08/12";"24"
"19:30 08/12";"20:30 08/12";"24"
"20:30 08/12";"21:30 08/12";"27"
"21:30 08/12";"22:30 08/12";"26"
"22:30 08/12";"23:30 08/12";"27"
"23:30 08/12";"00:30 09/12";"25"
"00:30 09/12";"01:30 09/12";"24"
"01:30 09/12";"02:30 09/12";"25"
"02:30 09/12";"03:30 09/12";"24"
"03:30 09/12";"04:30 09/12";"21"
"04:30 09/12";"05:30 09/12";"19"
"05:30 09/12";"06:30 09/12";"18"
"06:30 09/12";"07:30 09/12";"20"
"07:30 09/12";"08:30 09/12";"23"
"08:30 09/12";"09:30 09/12";"24"
"09:30 09/12";"10:30 09/12";"23"
"10:30 09/12";"11:30 09/12";"22"
"11:30 09/12";"12:30 09/12";"21"
"12:30 09/12";"13:30 09/12";"21"
"13:30 09/12";"14:30 09/12";"22"
"14:30 09/12";"15:30 09/12";"22"
"15:30 09/12";"16:30 09/12";"23"
"16:30 09/12";"17:30 09/12";"23"
"17:30 09/12";"18:30 09/12";"24"
"18:30 09/12";"19:30 09/12";"24"
