From;To;ID 31103 - PM2.5
"04:30 01/11";"05:30 01/11";"66"
"05:30 01/11";"06:30 01/11";"47"
"06:30 01/11";"07:30 01/11";"33"
"07:30 01/11";"08:30 01/11";"33"
"08:30 01/11";"09:30 01/11";"33"
"09:30 01/11";"10:30 01/11";"33"
"10:30 01/11";"11:30 01/11";"33"
"11:30 01/11";"12:30 01/11";"30"
"12:30 01/11";"13:30 01/11";"27"
"13:30 01/11";"14:30 01/11";"25"
"14:30 01/11";"15:30 01/11";"24"
"15:30 01/11";"16:30 01/11";"24"
"16:30 01/11";"17:30 01/11";"22"
"17:30 01/11";"18:30 01/11";"22"
"18:30 01/11";"19:30 01/11";"20"
"19:30 01/11";"20:30 01/11";"20"
"20:30 01/11";"21:30 01/11";"23"
"21:30 01/11";"22:30 01/11";"31"
"22:30 01/11";"23:30 01/11";"32"
"23:30 01/11";"00:30 02/11";"30"
"00:30 02/11";"01:30 02/11";"31"
"01:30 02/11";"02:30 02/11";"30"
"02:30 02/11";"03:30 02/11";"30"
"03:30 02/11";"04:30 02/11";"31"
"04:30 02/11";"05:30 02/11";"31"
"05:30 02/11";"06:30 02/11";"32"
"06:30 02/11";"07:30 02/11";"33"
"07:30 02/11";"08:30 02/11";"34"
"08:30 02/11";"09:30 02/11";"35"
"09:30 02/11";"10:30 02/11";"35"
"10:30 02/11";"11:30 02/11";"36"
"11:30 02/11";"12:30 02/11";"35"
"12:30 02/11";"13:30 02/11";"35"
"13:30 02/11";"14:30 02/11";"33"
"14:30 02/11";"15:30 02/11";"32"
"15:30 02/11";"16:30 02/11";"30"
"16:30 02/11";"17:30 02/11";"29"
"17:30 02/11";"18:30 02/11";"28"
"18:30 02/11";"19:30 02/11";"30"
"19:30 02/11";"20:30 02/11";"32"
"20:30 02/11";"21:30 02/11";"36"
"21:30 02/11";"22:30 02/11";"44"
"22:30 02/11";"23:30 02/11";"45"
"23:30 02/11";"00:30 03/11";"49"
"00:30 03/11";"01:30 03/11";"50"
"01:30 03/11";"02:30 03/11";"52"
"02:30 03/11";"03:30 03/11";"52"
"03:30 03/11";"04:30 03/11";"53"
"04:30 03/11";"05:30 03/11";"51"
"05:30 03/11";"06:30 03/11";"42"
"06:30 03/11";"07:30 03/11";"38"
"07:30 03/11";"08:30 03/11";"33"
"08:30 03/11";"09:30 03/11";"29"
"09:30 03/11";"10:30 03/11";"26"
"10:30 03/11";"11:30 03/11";"26"
"11:30 03/11";"12:30 03/11";"28"
"12:30 03/11";"13:30 03/11";"27"
"13:30 03/11";"14:30 03/11";"25"
"14:30 03/11";"15:30 03/11";"25"
"15:30 03/11";"16:30 03/11";"27"
"16:30 03/11";"17:30 03/11";"27"
"17:30 03/11";"18:30 03/11";"25"
"18:30 03/11";"19:30 03/11";"23"
"19:30 03/11";"20:30 03/11";"24"
"20:30 03/11";"21:30 03/11";"28"
"21:30 03/11";"22:30 03/11";"32"
"22:30 03/11";"23:30 03/11";"35"
"23:30 03/11";"00:30 04/11";"34"
"00:30 04/11";"01:30 04/11";"33"
"01:30 04/11";"02:30 04/11";"28"
"02:30 04/11";"03:30 04/11";"24"
"03:30 04/11";"04:30 04/11";"22"
"04:30 04/11";"05:30 04/11";"21"
"05:30 04/11";"06:30 04/11";"20"
