From;To;ID 6437 - PM2.5
"03:30 01/07";"04:30 01/07";"11"
"04:30 01/07";"05:30 01/07";"11"
"05:30 01/07";"06:30 01/07";"12"
"06:30 01/07";"07:30 01/07";"13"
"07:30 01/07";"08:30 01/07";"13"
"08:30 01/07";"09:30 01/07";"14"
"09:30 01/07";"10:30 01/07";"15"
"10:30 01/07";"11:30 01/07";"16"
"11:30 01/07";"12:30 01/07";"17"
"12:30 01/07";"13:30 01/07";"16"
"13:30 01/07";"14:30 01/07";"15"
"14:30 01/07";"15:30 01/07";"14"
"15:30 01/07";"16:30 01/07";"9"
"16:30 01/07";"17:30 01/07";"7"
"17:30 01/07";"18:30 01/07";"7"
"18:30 01/07";"19:30 01/07";"6"
"19:30 01/07";"20:30 01/07";"6"
"20:30 01/07";"21:30 01/07";"5"
"21:30 01/07";"22:30 01/07";"5"
"22:30 01/07";"23:30 01/07";"3"
"23:30 01/07";"00:30 02/07";"3"
"00:30 02/07";"01:30 02/07";"3"
"01:30 02/07";"02:30 02/07";"4"
"02:30 02/07";"03:30 02/07";"5"
"03:30 02/07";"04:30 02/07";"7"
"04:30 02/07";"05:30 02/07";"9"
"05:30 02/07";"06:30 02/07";"10"
"06:30 02/07";"07:30 02/07";"13"
"07:30 02/07";"08:30 02/07";"8"
"08:30 02/07";"09:30 02/07";"8"
"09:30 02/07";"10:30 02/07";"6"
"10:30 02/07";"11:30 02/07";"4"
"11:30 02/07";"12:30 02/07";"3"
"12:30 02/07";"13:30 02/07";"3"
"13:30 02/07";"14:30 02/07";"4"
"14:30 02/07";"15:30 02/07";"2"
"15:30 02/07";"16:30 02/07";"1"
"16:30 02/07";"17:30 02/07";"1"
"17:30 02/07";"18:30 02/07";"1"
"18:30 02/07";"19:30 02/07";"2"
"19:30 02/07";"20:30 02/07";"3"
"20:30 02/07";"21:30 02/07";"4"
"21:30 02/07";"22:30 02/07";"5"
"22:30 02/07";"23:30 02/07";"4"
"23:30 02/07";"00:30 03/07";"2"
"00:30 03/07";"01:30 03/07";"2"
"01:30 03/07";"02:30 03/07";"3"
"02:30 03/07";"03:30 03/07";"2"
"03:30 03/07";"04:30 03/07";"2"
"04:30 03/07";"05:30 03/07";"2"
"05:30 03/07";"06:30 03/07";"2"
"06:30 03/07";"07:30 03/07";"2"
"07:30 03/07";"08:30 03/07";"2"
"08:30 03/07";"09:30 03/07";"3"
"09:30 03/07";"10:30 03/07";"2"
"10:30 03/07";"11:30 03/07";"2"
"11:30 03/07";"12:30 03/07";"1"
"12:30 03/07";"13:30 03/07";"1"
