From;To;ID 6437 - PM2.5
"01/01/2020";"02/01/2020";"22"
"02/01/2020";"03/01/2020";"37"
"03/01/2020";"04/01/2020";"44"
"04/01/2020";"05/01/2020";"13"
"05/01/2020";"06/01/2020";"16"
"06/01/2020";"07/01/2020";"37"
"07/01/2020";"08/01/2020";"41"
"08/01/2020";"09/01/2020";"38"
"09/01/2020";"10/01/2020";"29"
"10/01/2020";"11/01/2020";"32"
"11/01/2020";"12/01/2020";"15"
"12/01/2020";"13/01/2020";"26"
"13/01/2020";"14/01/2020";"27"
"14/01/2020";"15/01/2020";"40"
"15/01/2020";"16/01/2020";"33"
"16/01/2020";"17/01/2020";"46"
"17/01/2020";"18/01/2020";"61"
"18/01/2020";"19/01/2020";"43"
"19/01/2020";"20/01/2020";"63"
"20/01/2020";"21/01/2020";"30"
"21/01/2020";"22/01/2020";"24"
"22/01/2020";"23/01/2020";"20"
"23/01/2020";"24/01/2020";"23"
"24/01/2020";"25/01/2020";"36"
"25/01/2020";"26/01/2020";"36"
"26/01/2020";"27/01/2020";"40"
"27/01/2020";"28/01/2020";"63"
"28/01/2020";"29/01/2020";"50"
"29/01/2020";"30/01/2020";"17"
"30/01/2020";"31/01/2020";"17"
"31/01/2020";"01/02/2020";"13"
"01/02/2020";"02/02/2020";"18"
"02/02/2020";"03/02/2020";"8"
"03/02/2020";"04/02/2020";"17"
"04/02/2020";"05/02/2020";"19"
"05/02/2020";"06/02/2020";"16"
"06/02/2020";"07/02/2020";"20"
"07/02/2020";"08/02/2020";"29"
"08/02/2020";"09/02/2020";"44"
"09/02/2020";"10/02/2020";"37"
"10/02/2020";"11/02/2020";"12"
"11/02/2020";"12/02/2020";"7"
"12/02/2020";"13/02/2020";"7"
"13/02/2020";"14/02/2020";"18"
"14/02/2020";"15/02/2020";"44"
"15/02/2020";"16/02/2020";"44"
"16/02/2020";"17/02/2020";"26"
"17/02/2020";"18/02/2020";"14"
"18/02/2020";"19/02/2020";"11"
"19/02/2020";"20/02/2020";"15"
"20/02/2020";"21/02/2020";"23"
"21/02/2020";"22/02/2020";"24"
"22/02/2020";"23/02/2020";"18"
"23/02/2020";"24/02/2020";"8"
"24/02/2020";"25/02/2020";"11"
"25/02/2020";"26/02/2020";"18"
"26/02/2020";"27/02/2020";"20"
"27/02/2020";"28/02/2020";"22"
"28/02/2020";"29/02/2020";"31"
"29/02/2020";"01/03/2020";"18"
"01/03/2020";"02/03/2020";"16"
"02/03/2020";"03/03/2020";"33"
"03/03/2020";"04/03/2020";"30"
"04/03/2020";"05/03/2020";"24"
"05/03/2020";"06/03/2020";"37"
"06/03/2020";"07/03/2020";"33"
"07/03/2020";"08/03/2020";"29"
"08/03/2020";"09/03/2020";"25"
"09/03/2020";"10/03/2020";"34"
"10/03/2020";"11/03/2020";"32"
"11/03/2020";"12/03/2020";"9"
"12/03/2020";"13/03/2020";"12"
"13/03/2020";"14/03/2020";"8"
"14/03/2020";"15/03/2020";"15"
"15/03/2020";"16/03/2020";"36"
"16/03/2020";"17/03/2020";"21"
"17/03/2020";"18/03/2020";"45"
"18/03/2020";"19/03/2020";"49"
"19/03/2020";"20/03/2020";"31"
"20/03/2020";"21/03/2020";"18"
"21/03/2020";"22/03/2020";"8"
"22/03/2020";"23/03/2020";"6"
"23/03/2020";"24/03/2020";"22"
"24/03/2020";"25/03/2020";"48"
"25/03/2020";"26/03/2020";"50"
"26/03/2020";"27/03/2020";"34"
"27/03/2020";"28/03/2020";"52"
"28/03/2020";"29/03/2020";"84"
"29/03/2020";"30/03/2020";"79"
"30/03/2020";"31/03/2020";"16"
"31/03/2020";"01/04/2020";"32"
"01/04/2020";"02/04/2020";"20"
"02/04/2020";"03/04/2020";"27"
"03/04/2020";"04/04/2020";"24"
"04/04/2020";"05/04/2020";"36"
"05/04/2020";"06/04/2020";"67"
"06/04/2020";"07/04/2020";"29"
"07/04/2020";"08/04/2020";"29"
"08/04/2020";"09/04/2020";"18"
