From;To;ID 6437 - PM2.5
"01/01/2021";"02/01/2021";"36"
"02/01/2021";"03/01/2021";"45"
"03/01/2021";"04/01/2021";"39"
"04/01/2021";"05/01/2021";"29"
"05/01/2021";"06/01/2021";"16"
"06/01/2021";"07/01/2021";"30"
"07/01/2021";"08/01/2021";"27"
"08/01/2021";"09/01/2021";"36"
"09/01/2021";"10/01/2021";"42"
"10/01/2021";"11/01/2021";"31"
"11/01/2021";"12/01/2021";"36"
"12/01/2021";"13/01/2021";"38"
"13/01/2021";"14/01/2021";"25"
"14/01/2021";"15/01/2021";"32"
"15/01/2021";"16/01/2021";"30"
"16/01/2021";"17/01/2021";"37"
"17/01/2021";"18/01/2021";"67"
"18/01/2021";"19/01/2021";"147"
"19/01/2021";"20/01/2021";"104"
"20/01/2021";"21/01/2021";"43"
"21/01/2021";"22/01/2021";"35"
"22/01/2021";"23/01/2021";"34"
"23/01/2021";"24/01/2021";"33"
"24/01/2021";"25/01/2021";"28"
"25/01/2021";"26/01/2021";"26"
"26/01/2021";"27/01/2021";"22"
"27/01/2021";"28/01/2021";"19"
"28/01/2021";"29/01/2021";"30"
"29/01/2021";"30/01/2021";"17"
"30/01/2021";"31/01/2021";"31"
"31/01/2021";"01/02/2021";"29"
"01/02/2021";"02/02/2021";"64"
"02/02/2021";"03/02/2021";"43"
"03/02/2021";"04/02/2021";"47"
"04/02/2021";"05/02/2021";"20"
"05/02/2021";"06/02/2021";"39"
"06/02/2021";"07/02/2021";"47"
"07/02/2021";"08/02/2021";"28"
"08/02/2021";"09/02/2021";"17"
"09/02/2021";"10/02/2021";"31"
"10/02/2021";"11/02/2021";"58"
"11/02/2021";"12/02/2021";"31"
"12/02/2021";"13/02/2021";"19"
"13/02/2021";"14/02/2021";"23"
"14/02/2021";"15/02/2021";"14"
"15/02/2021";"16/02/2021";"24"
"16/02/2021";"17/02/2021";"31"
"17/02/2021";"18/02/2021";"58"
"18/02/2021";"19/02/2021";"42"
"19/02/2021";"20/02/2021";"41"
"20/02/2021";"21/02/2021";"33"
"21/02/2021";"22/02/2021";"39"
"22/02/2021";"23/02/2021";"52"
"23/02/2021";"24/02/2021";"70"
"24/02/2021";"25/02/2021";"46"
"25/02/2021";"26/02/2021";"38"
"26/02/2021";"27/02/2021";"24"
"27/02/2021";"28/02/2021";"8"
"28/02/2021";"01/03/2021";"23"
"01/03/2021";"02/03/2021";"21"
"02/03/2021";"03/03/2021";"38"
"03/03/2021";"04/03/2021";"40"
"04/03/2021";"05/03/2021";"31"
"05/03/2021";"06/03/2021";"12"
"06/03/2021";"07/03/2021";"14"
"07/03/2021";"08/03/2021";"11"
"08/03/2021";"09/03/2021";"12"
"09/03/2021";"10/03/2021";"32"
"10/03/2021";"11/03/2021";"42"
"11/03/2021";"12/03/2021";"33"
"12/03/2021";"13/03/2021";"18"
"13/03/2021";"14/03/2021";"13"
"14/03/2021";"15/03/2021";"7"
"15/03/2021";"16/03/2021";"30"
"16/03/2021";"17/03/2021";"44"
"17/03/2021";"18/03/2021";"13"
"18/03/2021";"19/03/2021";"14"
"19/03/2021";"20/03/2021";"17"
"20/03/2021";"21/03/2021";"10"
"21/03/2021";"22/03/2021";"23"
"22/03/2021";"23/03/2021";"12"
"23/03/2021";"24/03/2021";"13"
