"From";"To";"ID 6437 - PM10"
"01/01/2020";"02/01/2020";"32"
"02/01/2020";"03/01/2020";"56"
"03/01/2020";"04/01/2020";"70"
"04/01/2020";"05/01/2020";"19"
"05/01/2020";"06/01/2020";"25"
"06/01/2020";"07/01/2020";"61"
"07/01/2020";"08/01/2020";"65"
"08/01/2020";"09/01/2020";"61"
"09/01/2020";"10/01/2020";"48"
"10/01/2020";"11/01/2020";"51"
"11/01/2020";"12/01/2020";"21"
"12/01/2020";"13/01/2020";"39"
"13/01/2020";"14/01/2020";"42"
"14/01/2020";"15/01/2020";"65"
"15/01/2020";"16/01/2020";"53"
"16/01/2020";"17/01/2020";"71"
"17/01/2020";"18/01/2020";"96"
"18/01/2020";"19/01/2020";"70"
"19/01/2020";"20/01/2020";"95"
"20/01/2020";"21/01/2020";"46"
"21/01/2020";"22/01/2020";"36"
"22/01/2020";"23/01/2020";"30"
"23/01/2020";"24/01/2020";"34"
"24/01/2020";"25/01/2020";"58"
"25/01/2020";"26/01/2020";"59"
"26/01/2020";"27/01/2020";"66"
"27/01/2020";"28/01/2020";"97"
"28/01/2020";"29/01/2020";"77"
"29/01/2020";"30/01/2020";"24"
"30/01/2020";"31/01/2020";"24"
"31/01/2020";"01/02/2020";"18"
"01/02/2020";"02/02/2020";"26"
"02/02/2020";"03/02/2020";"11"
"03/02/2020";"04/02/2020";"26"
"04/02/2020";"05/02/2020";"29"
"05/02/2020";"06/02/2020";"24"
"06/02/2020";"07/02/2020";"29"
"07/02/2020";"08/02/2020";"44"
"08/02/2020";"09/02/2020";"68"
"09/02/2020";"10/02/2020";"58"
"10/02/2020";"11/02/2020";"17"
"11/02/2020";"12/02/2020";"10"
"12/02/2020";"13/02/2020";"10"
"13/02/2020";"14/02/2020";"28"
"14/02/2020";"15/02/2020";"69"
"15/02/2020";"16/02/2020";"71"
"16/02/2020";"17/02/2020";"40"
"17/02/2020";"18/02/2020";"20"
"18/02/2020";"19/02/2020";"16"
"19/02/2020";"20/02/2020";"21"
"20/02/2020";"21/02/2020";"35"
"21/02/2020";"22/02/2020";"36"
"22/02/2020";"23/02/2020";"26"
"23/02/2020";"24/02/2020";"11"
"24/02/2020";"25/02/2020";"16"
"25/02/2020";"26/02/2020";"26"
"26/02/2020";"27/02/2020";"28"
"27/02/2020";"28/02/2020";"33"
"28/02/2020";"29/02/2020";"47"
"29/02/2020";"01/03/2020";"26"
"01/03/2020";"02/03/2020";"23"
"02/03/2020";"03/03/2020";"53"
"03/03/2020";"04/03/2020";"46"
"04/03/2020";"05/03/2020";"36"
"05/03/2020";"06/03/2020";"56"
"06/03/2020";"07/03/2020";"52"
"07/03/2020";"08/03/2020";"46"
"08/03/2020";"09/03/2020";"36"
"09/03/2020";"10/03/2020";"53"
"10/03/2020";"11/03/2020";"50"
"11/03/2020";"12/03/2020";"13"
"12/03/2020";"13/03/2020";"18"
"13/03/2020";"14/03/2020";"11"
"14/03/2020";"15/03/2020";"23"
"15/03/2020";"16/03/2020";"55"
"16/03/2020";"17/03/2020";"32"
"17/03/2020";"18/03/2020";"69"
"18/03/2020";"19/03/2020";"74"
"19/03/2020";"20/03/2020";"48"
"20/03/2020";"21/03/2020";"27"
"21/03/2020";"22/03/2020";"11"
"22/03/2020";"23/03/2020";"9"
"23/03/2020";"24/03/2020";"33"
"24/03/2020";"25/03/2020";"74"
"25/03/2020";"26/03/2020";"77"
"26/03/2020";"27/03/2020";"52"
"27/03/2020";"28/03/2020";"77"
"28/03/2020";"29/03/2020";"124"
"29/03/2020";"30/03/2020";"119"
"30/03/2020";"31/03/2020";"24"
"31/03/2020";"01/04/2020";"48"
"01/04/2020";"02/04/2020";"29"
"02/04/2020";"03/04/2020";"40"
"03/04/2020";"04/04/2020";"37"
"04/04/2020";"05/04/2020";"54"
"05/04/2020";"06/04/2020";"102"
"06/04/2020";"07/04/2020";"44"
"07/04/2020";"08/04/2020";"43"
"08/04/2020";"09/04/2020";"27"
"09/04/2020";"10/04/2020";"42"
"10/04/2020";"11/04/2020";"21"
"11/04/2020";"12/04/2020";"20"
"12/04/2020";"13/04/2020";"25"
"13/04/2020";"14/04/2020";"21"
"14/04/2020";"15/04/2020";"14"
"15/04/2020";"16/04/2020";"21"
"16/04/2020";"17/04/2020";"20"
"17/04/2020";"18/04/2020";"16"
"18/04/2020";"19/04/2020";"33"
"19/04/2020";"20/04/2020";"19"
"20/04/2020";"21/04/2020";"15"
"21/04/2020";"22/04/2020";"26"
"22/04/2020";"23/04/2020";"23"
"23/04/2020";"24/04/2020";"31"
"24/04/2020";"25/04/2020";"27"
"25/04/2020";"26/04/2020";"19"
"26/04/2020";"27/04/2020";"22"
"27/04/2020";"28/04/2020";"30"
"28/04/2020";"29/04/2020";"21"
"29/04/2020";"30/04/2020";"22"
"30/04/2020";"01/05/2020";"16"
"01/05/2020";"02/05/2020";"33"
"02/05/2020";"03/05/2020";"24"
"03/05/2020";"04/05/2020";"30"
"04/05/2020";"05/05/2020";"27"
"05/05/2020";"06/05/2020";"29"
"06/05/2020";"07/05/2020";"16"
"07/05/2020";"08/05/2020";"12"
"08/05/2020";"09/05/2020";"21"
"09/05/2020";"10/05/2020";"29"
"10/05/2020";"11/05/2020";"27"
"11/05/2020";"12/05/2020";"25"
"12/05/2020";"13/05/2020";"7"
"13/05/2020";"14/05/2020";"22"
"14/05/2020";"15/05/2020";"22"
"15/05/2020";"16/05/2020";"32"
"16/05/2020";"17/05/2020";"17"
"17/05/2020";"18/05/2020";"17"
"18/05/2020";"19/05/2020";"15"
"19/05/2020";"20/05/2020";"24"
"20/05/2020";"21/05/2020";"10"
"21/05/2020";"22/05/2020";"5"
"22/05/2020";"23/05/2020";"16"
"23/05/2020";"24/05/2020";"29"
"24/05/2020";"25/05/2020";"15"
"25/05/2020";"26/05/2020";"15"
"26/05/2020";"27/05/2020";"14"
"27/05/2020";"28/05/2020";"16"
"28/05/2020";"29/05/2020";"16"
"29/05/2020";"30/05/2020";"6"
"30/05/2020";"31/05/2020";"4"
"31/05/2020";"01/06/2020";"7"
"01/06/2020";"02/06/2020";"5"
"02/06/2020";"03/06/2020";"6"
"03/06/2020";"04/06/2020";"12"
"04/06/2020";"05/06/2020";"20"
"05/06/2020";"06/06/2020";"16"
"06/06/2020";"07/06/2020";"10"
"07/06/2020";"08/06/2020";"14"
"08/06/2020";"09/06/2020";"25"
"09/06/2020";"10/06/2020";"15"
"10/06/2020";"11/06/2020";"25"
"11/06/2020";"12/06/2020";"27"
"12/06/2020";"13/06/2020";"16"
"13/06/2020";"14/06/2020";"23"
"14/06/2020";"15/06/2020";"9"
"15/06/2020";"16/06/2020";"13"
"16/06/2020";"17/06/2020";"18"
"17/06/2020";"18/06/2020";"20"
"18/06/2020";"19/06/2020";"28"
"19/06/2020";"20/06/2020";"21"
"20/06/2020";"21/06/2020";"25"
"21/06/2020";"22/06/2020";"24"
"22/06/2020";"23/06/2020";"26"
"23/06/2020";"24/06/2020";"8"
"24/06/2020";"25/06/2020";"24"
"25/06/2020";"26/06/2020";"23"
"26/06/2020";"27/06/2020";"20"
"27/06/2020";"28/06/2020";"20"
"28/06/2020";"29/06/2020";"34"
"29/06/2020";"30/06/2020";"23"
"30/06/2020";"01/07/2020";"14"
"01/07/2020";"02/07/2020";"12"
"02/07/2020";"03/07/2020";"11"
"03/07/2020";"04/07/2020";"23"
"04/07/2020";"05/07/2020";"16"
"05/07/2020";"06/07/2020";"14"
"06/07/2020";"07/07/2020";"12"
"07/07/2020";"08/07/2020";"5"
"08/07/2020";"09/07/2020";"8"
"09/07/2020";"10/07/2020";"14"
"10/07/2020";"11/07/2020";"18"
"11/07/2020";"12/07/2020";"9"
"12/07/2020";"13/07/2020";"8"
"13/07/2020";"14/07/2020";"6"
"14/07/2020";"15/07/2020";"15"
"15/07/2020";"16/07/2020";"21"
"16/07/2020";"17/07/2020";"26"
"17/07/2020";"18/07/2020";"19"
"18/07/2020";"19/07/2020";"26"
"19/07/2020";"20/07/2020";"27"
"20/07/2020";"21/07/2020";"23"
"21/07/2020";"22/07/2020";"11"
"22/07/2020";"23/07/2020";"5"
"23/07/2020";"24/07/2020";"6"
"24/07/2020";"25/07/2020";"15"
"25/07/2020";"26/07/2020";"15"
"26/07/2020";"27/07/2020";"16"
"27/07/2020";"28/07/2020";"16"
"28/07/2020";"29/07/2020";"22"
"29/07/2020";"30/07/2020";"14"
"30/07/2020";"31/07/2020";"12"
"31/07/2020";"01/08/2020";"8"
"01/08/2020";"02/08/2020";"9"
"02/08/2020";"03/08/2020";"14"
"03/08/2020";"04/08/2020";"25"
"04/08/2020";"05/08/2020";"29"
"05/08/2020";"06/08/2020";"8"
"06/08/2020";"07/08/2020";"9"
"07/08/2020";"08/08/2020";"17"
"08/08/2020";"09/08/2020";"23"
"09/08/2020";"10/08/2020";"28"
"10/08/2020";"11/08/2020";"22"
"11/08/2020";"12/08/2020";"17"
"12/08/2020";"13/08/2020";"9"
"13/08/2020";"14/08/2020";"15"
"14/08/2020";"15/08/2020";"16"
"15/08/2020";"16/08/2020";"13"
"16/08/2020";"17/08/2020";"16"
"17/08/2020";"18/08/2020";"20"
