Time,PM2.5
2017-12-31 01:00:00,29.5 μg/m³
2018-01-01 01:00:00,23.9 μg/m³
2018-01-02 01:00:00,33.3 μg/m³
2018-01-03 01:00:00,13.3 μg/m³
2018-01-04 01:00:00,9.99 μg/m³
2018-01-05 01:00:00,11.2 μg/m³
2018-01-06 01:00:00,34.7 μg/m³
2018-01-07 01:00:00,33.9 μg/m³
2018-01-08 01:00:00,116 μg/m³
2018-01-09 01:00:00,96.1 μg/m³
2018-01-10 01:00:00,26.8 μg/m³
2018-01-11 01:00:00,19.7 μg/m³
2018-01-12 01:00:00,15.2 μg/m³
2018-01-13 01:00:00,15.2 μg/m³
2018-01-14 01:00:00,15.8 μg/m³
2018-01-15 01:00:00,23.2 μg/m³
2018-01-16 01:00:00,25.8 μg/m³
2018-01-17 01:00:00,22.2 μg/m³
2018-01-18 01:00:00,16.2 μg/m³
2018-01-19 01:00:00,14.6 μg/m³
2018-01-20 01:00:00,41.5 μg/m³
2018-01-21 01:00:00,38.6 μg/m³
2018-01-22 01:00:00,35.1 μg/m³
2018-01-23 01:00:00,36.8 μg/m³
2018-01-24 01:00:00,33.2 μg/m³
2018-01-25 01:00:00,29.3 μg/m³
2018-01-26 01:00:00,43.8 μg/m³
2018-01-27 01:00:00,68.1 μg/m³
2018-01-28 01:00:00,17.6 μg/m³
2018-01-29 01:00:00,7.48 μg/m³
2018-01-30 01:00:00,6.38 μg/m³
2018-01-31 01:00:00,13.1 μg/m³
2018-02-01 01:00:00,28 μg/m³
2018-02-02 01:00:00,32.7 μg/m³
2018-02-03 01:00:00,46.0 μg/m³
2018-02-04 01:00:00,19.6 μg/m³
2018-02-05 01:00:00,15.2 μg/m³
2018-02-06 01:00:00,45.2 μg/m³
2018-02-07 01:00:00,68.2 μg/m³
2018-02-08 01:00:00,35.2 μg/m³
2018-02-09 01:00:00,30.9 μg/m³
2018-02-10 01:00:00,30.9 μg/m³
2018-02-11 01:00:00,42.5 μg/m³
2018-02-12 01:00:00,62.8 μg/m³
2018-02-13 01:00:00,95.4 μg/m³
2018-02-14 01:00:00,50.5 μg/m³
2018-02-15 01:00:00,32.5 μg/m³
2018-02-16 01:00:00,41.1 μg/m³
2018-02-17 01:00:00,32.8 μg/m³
2018-02-18 01:00:00,28.4 μg/m³
2018-02-19 01:00:00,58.8 μg/m³
2018-02-20 01:00:00,56.0 μg/m³
2018-02-21 01:00:00,44.1 μg/m³
2018-02-22 01:00:00,50.6 μg/m³
2018-02-23 01:00:00,80.6 μg/m³
2018-02-24 01:00:00,23.8 μg/m³
2018-02-25 01:00:00,20.3 μg/m³
2018-02-26 01:00:00,72.5 μg/m³
2018-02-27 01:00:00,91.0 μg/m³
2018-02-28 01:00:00,24.6 μg/m³
2018-03-01 01:00:00,39.9 μg/m³
2018-03-02 01:00:00,66.6 μg/m³
2018-03-03 01:00:00,54.9 μg/m³
2018-03-04 01:00:00,90.1 μg/m³
2018-03-05 01:00:00,72.8 μg/m³
2018-03-06 01:00:00,47.1 μg/m³
2018-03-07 01:00:00,48.9 μg/m³
2018-03-08 01:00:00,39.4 μg/m³
2018-03-09 01:00:00,22.9 μg/m³
2018-03-10 01:00:00,30.4 μg/m³
2018-03-11 01:00:00,32.3 μg/m³
2018-03-12 01:00:00,14.8 μg/m³
2018-03-13 01:00:00,11.8 μg/m³
2018-03-14 01:00:00,14.5 μg/m³
2018-03-15 01:00:00,15.2 μg/m³
2018-03-16 01:00:00,12.3 μg/m³
2018-03-17 01:00:00,9.47 μg/m³
2018-03-18 01:00:00,11.6 μg/m³
2018-03-19 01:00:00,33.9 μg/m³
2018-03-20 01:00:00,42.3 μg/m³
2018-03-21 01:00:00,19.0 μg/m³
2018-03-22 01:00:00,28.4 μg/m³
2018-03-23 01:00:00,57.3 μg/m³
2018-03-24 01:00:00,64.2 μg/m³
2018-03-25 01:00:00,58.4 μg/m³
2018-03-26 02:00:00,39.0 μg/m³
2018-03-27 02:00:00,13.2 μg/m³
2018-03-28 02:00:00,24.8 μg/m³
2018-03-29 02:00:00,24.8 μg/m³
2018-03-30 02:00:00,33.5 μg/m³
2018-03-31 02:00:00,24.6 μg/m³
2018-04-01 02:00:00,12.7 μg/m³
2018-04-02 02:00:00,17.3 μg/m³
2018-04-03 02:00:00,31.7 μg/m³
2018-04-04 02:00:00,23.2 μg/m³
2018-04-05 02:00:00,20.5 μg/m³
2018-04-06 02:00:00,18.6 μg/m³
2018-04-07 02:00:00,31.9 μg/m³
2018-04-08 02:00:00,17.3 μg/m³
2018-04-09 02:00:00,20.7 μg/m³
2018-04-10 02:00:00,19.3 μg/m³
2018-04-11 02:00:00,13.9 μg/m³
2018-04-12 02:00:00,15.0 μg/m³
2018-04-13 02:00:00,16.4 μg/m³
2018-04-14 02:00:00,17.5 μg/m³
2018-04-15 02:00:00,19.1 μg/m³
2018-04-16 02:00:00,19.1 μg/m³
2018-04-17 02:00:00,15.6 μg/m³
2018-04-18 02:00:00,13.6 μg/m³
2018-04-19 02:00:00,9.33 μg/m³
2018-04-20 02:00:00,9.03 μg/m³
2018-04-21 02:00:00,10.3 μg/m³
2018-04-22 02:00:00,7.04 μg/m³
2018-04-23 02:00:00,10.5 μg/m³
2018-04-24 02:00:00,11.2 μg/m³
2018-04-25 02:00:00,10.4 μg/m³
2018-04-26 02:00:00,5.45 μg/m³
2018-04-27 02:00:00,17.6 μg/m³
2018-04-28 02:00:00,17.6 μg/m³
2018-04-29 02:00:00,21.4 μg/m³
2018-04-30 02:00:00,12.4 μg/m³
2018-05-01 02:00:00,13.0 μg/m³
2018-05-02 02:00:00,8.65 μg/m³
2018-05-03 02:00:00,10.7 μg/m³
2018-05-04 02:00:00,7.38 μg/m³
2018-05-05 02:00:00,5.45 μg/m³
2018-05-06 02:00:00,6.28 μg/m³
2018-05-07 02:00:00,8.88 μg/m³
2018-05-08 02:00:00,7.30 μg/m³
2018-05-09 02:00:00,9.43 μg/m³
2018-05-10 02:00:00,9.83 μg/m³
2018-05-11 02:00:00,11.2 μg/m³
2018-05-12 02:00:00,8.79 μg/m³
2018-05-13 02:00:00,11.0 μg/m³
2018-05-14 02:00:00,9.93 μg/m³
2018-05-15 02:00:00,8.33 μg/m³
2018-05-16 02:00:00,10.2 μg/m³
2018-05-17 02:00:00,7.25 μg/m³
2018-05-18 02:00:00,7.70 μg/m³
2018-05-19 02:00:00,6.56 μg/m³
2018-05-20 02:00:00,7.17 μg/m³
2018-05-21 02:00:00,7.43 μg/m³
2018-05-22 02:00:00,8.46 μg/m³
2018-05-23 02:00:00,8.37 μg/m³
2018-05-24 02:00:00,9.35 μg/m³
2018-05-25 02:00:00,8.81 μg/m³
2018-05-26 02:00:00,11.7 μg/m³
2018-05-27 02:00:00,9.90 μg/m³
2018-05-28 02:00:00,8.65 μg/m³
2018-05-29 02:00:00,9.98 μg/m³
2018-05-30 02:00:00,10.0 μg/m³
2018-05-31 02:00:00,15.1 μg/m³
2018-06-01 02:00:00,9.85 μg/m³
2018-06-02 02:00:00,12.0 μg/m³
2018-06-03 02:00:00,13.6 μg/m³
2018-06-04 02:00:00,10.7 μg/m³
2018-06-05 02:00:00,8.35 μg/m³
2018-06-06 02:00:00,3.53 μg/m³
2018-06-07 02:00:00,6.76 μg/m³
2018-06-08 02:00:00,8.26 μg/m³
2018-06-09 02:00:00,7.38 μg/m³
2018-06-10 02:00:00,10.2 μg/m³
2018-06-11 02:00:00,13.6 μg/m³
